Image_id,cluster
2392778,7
2350124,0
2331619,12
1568,24
2351423,19
2375154,12
2409617,19
2390624,28
2342307,19
2390804,0
2352790,16
2363288,28
2357379,18
2342699,9
2345079,3
1592367,18
2343347,17
2341981,10
2324129,26
2414918,1
2414252,10
2352708,26
2414137,19
2328186,7
2386621,19
2414586,9
2383366,25
193,18
2316001,13
2363470,27
2343285,14
2408833,26
2330212,12
2355967,15
2328003,18
2332082,7
2331276,12
2358828,19
2384483,19
2403855,5
2366936,21
2342062,2
2054,18
2374341,15
2411539,10
2376119,11
2350034,23
1591931,14
2417454,22
2347773,15
2388755,4
2358063,9
2349580,28
2336837,21
2346911,14
2360809,9
2317016,3
2372479,7
2375756,21
2400935,26
2389864,13
2335302,19
2390784,5
1592474,10
2340578,20
2399062,25
2355827,22
2341166,0
2349370,3
2407796,26
2336980,12
2350058,8
1592180,26
2414746,12
2410173,23
1592326,17
2331775,18
2326057,25
2869,9
2342157,19
2377062,19
2377856,4
2340667,17
2374030,18
2400100,28
2411045,11
2332142,26
2349929,26
2399213,17
1593149,27
2407118,0
2394134,9
2322899,6
2317765,4
2392527,26
3494,5
2391988,19
2349604,13
107900,20
2354397,19
3350,14
2381015,4
2404225,15
2316952,26
2321008,6
2391318,26
2324141,4
2403537,16
2391261,4
2321823,29
2341191,16
2371307,12
2369605,5
2358510,21
2326342,7
2415906,20
2325823,27
2348026,26
2379859,18
2350929,23
2356997,4
2375457,26
2360303,28
2359946,1
2356292,19
2413668,10
2414287,20
2364434,18
2383333,27
2403572,8
2393779,1
2357141,23
2364989,2
2402092,12
2354560,10
2402086,13
2375071,7
2399433,28
2339845,19
2327103,9
2408218,8
2350704,24
2369022,21
2366633,23
2332092,20
2403642,23
2352947,10
2357884,21
2318818,12
3378,14
2327349,5
2417590,26
2334114,23
2351495,0
2367662,9
2357921,0
2333641,17
2316954,15
1698,4
2359870,25
2371996,23
2344801,19
1160160,5
2347584,2
2363207,13
2403849,7
2322545,16
2333430,23
2346099,28
498034,5
2365860,2
2397218,18
2334493,19
2387381,29
4417,24
2412464,19
2380104,19
2249,14
2411114,4
2352953,26
2410193,20
2397383,1
2342537,12
2399042,4
2395357,20
2353160,5
1592077,4
2356558,5
2344931,4
2379466,26
2375692,15
2323490,1
2405138,2
2374355,12
2315368,21
2356528,0
2388244,19
2417134,1
553,5
2329145,19
2383328,18
2388164,0
2316260,0
2368795,18
2416488,21
2321984,2
2365665,15
2376338,14
2329885,18
2412243,21
2348306,20
2349982,8
2317187,6
2331395,16
2407610,13
2341737,6
2380108,6
2388680,13
2349490,14
2395744,5
2401913,28
2389358,12
2391266,18
2331300,21
2349934,12
2338849,26
2362176,20
2351214,18
285857,4
2393149,14
2326555,9
2360605,13
2323632,5
2390907,10
2319870,29
2342663,22
2409640,7
2396736,22
2324264,15
2324785,18
2409695,18
2350512,0
2393444,19
2392150,9
2354248,25
2336809,26
2341905,17
2339925,13
2356806,11
2334981,6
2388360,7
2384147,1
2335098,5
4867,18
2395975,18
107899,1
1383,24
2346143,14
2356919,28
2395150,0
2351589,10
2324840,18
2343429,20
2372733,7
4001,24
2369816,28
2336448,16
2318280,0
527,18
2325592,15
2395394,17
2345857,16
2381291,28
2367378,0
2345387,28
2368274,25
2356032,19
2322989,2
2321449,21
2334223,15
2344619,19
2325690,19
2401876,21
2343506,26
2330259,7
592,12
2384496,28
2329055,15
2322064,27
2416234,9
2356355,27
2353227,26
2331403,22
2357253,14
2368187,7
2353036,7
2364111,3
2396150,28
2394374,18
2381493,14
2367396,15
2360795,28
2334030,19
2339236,10
2367511,16
2395094,15
2390408,20
2377112,11
285751,18
2385112,20
2401659,23
2317218,19
713279,18
2395277,14
2407528,12
2364638,10
2328345,19
2365128,14
2325887,16
2321394,12
2347158,14
2351144,7
2388175,10
2382152,7
2402262,18
2331632,18
2355245,2
4291,18
2331676,19
2332788,19
2341518,4
2382809,6
2361324,3
2380694,10
3234,24
2364098,9
2947,12
2336132,18
2375226,28
2339637,6
2369756,14
2323374,24
2335198,14
2344984,3
2374360,14
2325177,27
1591860,12
2344933,2
2326990,26
2359118,28
2410857,14
2377368,0
2413818,26
2328169,23
2387127,1
2409626,16
2322229,12
2375032,13
2353284,21
2396731,23
2392348,19
2318489,26
2344286,25
2374989,26
2381346,9
2366838,12
2389034,9
2399533,26
2380339,2
2334856,3
2370532,7
2359001,13
2374627,14
2322793,10
2329652,27
2382120,9
2405130,9
2370891,9
2362567,15
2372310,17
2395022,0
2356087,19
2411916,10
2377,14
4400,24
2316831,5
2326121,26
2350339,5
2375269,19
2382179,15
2351147,0
2345683,4
2388584,14
2406571,14
2407214,6
2346526,20
2334412,3
2383636,0
2365867,0
2319755,1
2377620,20
2344130,29
2340672,18
2329181,19
2355689,15
2335824,26
2389218,28
2323415,18
2412560,14
2386006,22
2345545,12
1592748,18
2367824,19
2366829,15
2374079,12
2350752,3
2404808,18
2388671,12
2335682,16
4233,18
2378985,4
2369445,28
2370576,21
2323253,9
4723,24
