Image_id,cluster
1,38
2,55
3,66
4,16
5,16
6,68
7,66
8,66
9,16
10,66
11,66
12,66
13,66
14,66
15,66
16,38
17,66
18,66
19,66
20,66
21,72
22,55
23,53
24,53
25,74
26,26
27,16
28,16
29,45
30,16
31,17
32,17
33,16
34,66
35,16
36,17
37,16
38,75
39,16
40,16
41,17
42,16
43,17
44,16
45,55
46,53
47,55
48,38
49,38
50,66
51,32
52,71
53,53
54,3
55,58
56,29
57,38
58,38
59,52
60,35
61,38
62,29
63,40
64,26
65,53
66,16
67,16
68,66
69,25
70,46
71,72
72,2
73,2
74,16
75,57
76,16
77,66
78,66
79,16
80,17
81,17
82,17
83,16
84,16
85,16
86,46
87,32
88,16
89,16
90,16
91,16
92,40
93,2
94,40
95,40
96,2
97,40
98,40
99,2
100,66
101,53
102,53
103,26
104,53
105,53
106,38
107,66
108,55
109,29
110,16
111,68
112,66
113,26
114,72
115,16
116,29
117,47
118,16
119,57
120,16
121,16
122,40
123,17
124,17
125,29
126,79
127,38
128,26
129,26
130,29
131,3
132,74
133,41
134,9
135,29
136,29
137,55
138,55
139,29
140,35
141,26
142,70
143,29
144,6
145,53
146,35
147,53
148,38
149,60
150,38
151,2
152,72
153,68
154,68
155,68
156,3
157,18
158,75
159,53
160,72
161,38
162,61
163,61
164,57
165,20
166,29
167,46
168,3
169,0
170,2
171,42
172,70
173,72
174,47
175,28
176,29
177,16
178,68
179,15
180,70
181,16
182,17
183,16
184,16
185,16
186,25
187,68
188,45
189,18
190,29
191,70
192,53
193,16
194,29
195,40
196,57
197,26
198,26
199,40
200,40
201,55
202,29
203,53
204,18
205,29
206,26
207,29
208,29
209,19
210,35
211,18
212,16
213,29
214,26
215,38
216,16
217,53
218,53
219,61
220,16
221,26
222,26
223,16
224,53
225,38
226,18
227,52
228,16
229,29
230,2
231,53
232,16
233,17
234,55
235,39
236,29
237,68
238,40
239,66
240,26
241,40
242,26
243,53
244,47
245,29
246,29
247,16
248,38
249,16
250,26
251,26
252,57
253,53
254,57
255,26
256,29
257,53
258,66
259,47
260,3
261,53
262,26
263,29
264,29
265,75
266,18
267,18
268,66
269,55
270,53
271,26
272,6
273,38
274,26
275,30
276,55
277,39
278,16
279,53
280,53
281,71
282,29
283,55
284,29
285,16
286,40
287,26
288,53
289,16
290,53
291,29
292,57
293,19
294,53
295,17
296,78
297,26
298,18
299,57
300,53
301,53
302,29
303,26
304,55
305,29
306,29
307,26
308,38
309,38
310,26
311,53
312,53
313,26
314,29
315,36
316,53
317,53
318,29
319,35
320,26
321,29
322,26
323,38
324,55
325,38
326,38
327,38
328,66
329,66
330,66
331,66
332,66
333,68
334,68
335,66
336,66
337,29
338,38
339,38
340,29
341,38
342,38
343,38
344,72
345,53
346,55
347,16
348,16
349,16
350,57
351,62
352,57
353,57
354,29
355,38
356,53
357,53
358,66
359,66
360,66
361,55
362,53
363,55
364,55
365,55
366,55
367,55
368,55
369,66
370,66
371,66
372,66
373,66
374,66
375,2
376,66
377,66
378,66
379,17
380,66
381,66
382,66
383,66
384,66
385,16
386,66
387,66
388,66
389,66
390,66
391,55
392,66
393,16
394,57
395,53
396,15
397,38
398,52
399,45
400,65
401,55
402,74
403,57
404,16
405,66
406,66
407,66
408,66
409,66
410,2
411,16
412,56
413,11
414,72
415,2
416,2
417,2
418,72
419,72
420,39
421,55
422,53
423,53
424,46
425,6
426,29
427,29
428,55
429,53
430,38
431,29
432,29
433,35
434,57
435,29
436,46
437,35
438,53
439,55
440,38
441,46
442,3
443,46
444,74
445,26
446,46
447,38
448,79
449,38
450,53
451,53
452,61
453,3
454,39
455,29
456,26
457,26
458,55
459,53
460,29
461,53
462,53
463,26
464,55
465,38
466,22
467,26
468,67
469,53
470,57
471,29
472,29
473,2
474,16
475,57
476,53
477,53
478,58
479,36
480,71
481,45
482,29
483,46
484,46
485,35
486,29
487,26
488,70
489,29
490,15
491,16
492,47
493,16
494,16
495,16
496,47
497,15
498,16
499,16
500,68
501,16
502,47
503,2
504,40
505,19
506,47
507,16
508,19
509,16
510,16
511,47
512,47
513,19
514,16
515,16
516,16
517,47
518,29
519,47
520,16
521,29
522,47
523,19
524,17
525,17
526,16
527,16
528,47
529,57
530,26
531,16
532,47
533,16
534,15
535,16
536,16
537,16
538,16
539,26
540,47
541,57
542,16
543,19
544,47
