session_id,image1,image2
1,2391748,2406103
1,2373481,2318242
1,2404600,2366363
1,2373009,2332422
1,2339769,2318105
1,2396717,2346108
1,1592170,2318246
1,2373348,2374874
1,2331814,2390856
1,2355298,2346062
1,2359043,1518
1,2342917,2370000
1,2361664,2389493
1,2385451,2342925
1,2399993,2342346
1,2404359,2375022
1,2381729,2327270
1,2410466,2351218
1,2399491,2342418
1,2386259,2348326
1,2378590,2345393
1,2349737,2318495
1,2387613,2347507
1,2396801,2317358
1,2393443,2413212
1,2396641,2409649
1,2361570,2355303
1,2316615,2369123
1,2370482,2365515
1,2340433,2396717
1,2347094,2345283
1,2356281,2353752
1,2356968,2368985
1,2357783,2341356
1,2325348,2348724
1,2341565,2345031
1,2324451,713768
1,2321376,2333346
1,2364771,2317414
1,2367039,2408664
1,2407505,2404319
1,2379534,2388700
1,2383853,2356281
1,2356434,2367616
1,2411207,2355768
1,2397214,2358079
1,2354211,2386693
1,2417,2399197
1,2412335,2322354
1,2390624,2388276
1,498391,2366422
1,498273,2404095
1,2358004,2367096
1,2396061,2377998
1,2342160,2321165
1,2386036,2370834
1,2339769,2413085
1,2369123,2405882
1,2350394,2380763
1,2353752,2335010
1,2375741,2406092
1,2382175,2318193
1,2354239,2393038
1,2328327,2404804
1,2357835,2380094
1,2318792,2395119
1,1593144,2360064
1,2402008,2402277
1,2319027,713813
1,2381624,2390398
1,2362623,2397474
1,2376587,2352273
1,2406455,2404836
1,713550,2380935
1,2352456,2320482
1,2407422,2357159
1,2355716,1159928
1,2320626,2334660
1,2316787,2328752
1,2402692,2377097
1,2391663,2373717
1,2366338,2370482
1,2398516,3860
1,2365295,2371186
1,2359516,2349413
1,2368853,2373990
1,2352385,2348611
1,2392137,2364168
1,2409658,2408233
1,2320574,2366357
1,2410129,2376966
1,2330404,2366357
1,2350112,2382074
1,2375310,2351899
1,2317284,2411837
1,2409815,2330404
1,2334407,2375096
1,150452,2378648
1,2343293,2317281
1,2417227,2323563
1,2318163,2376232
1,2385265,2410592
1,2390873,2411207
1,2396419,2408923
1,2400846,2390624
1,2368692,2385405
1,2325199,2383870
1,2384239,2344514
1,2354405,1592170
1,2365383,2398946
1,2391285,2405206
1,2346148,2384594
1,2346556,1518
1,2380485,2350200
1,2372551,2406329
1,2335444,2359719
1,2340197,2384980
1,2320451,2336747
1,2396202,2353705
1,2349701,2316559
1,2412664,2380039
1,2292,2380774
1,2396641,2356911
1,2400723,2368836
1,2371073,2328910
1,1592977,1160123
1,2368600,107910
1,2408319,2375842
1,1591943,2346771
1,2382434,1614
1,2317358,2380032
1,2339126,2391081
1,2322516,2326555
1,2353599,2365296
1,2409658,2407299
1,2335002,2320377
1,2320061,2334660
1,2385451,2371458
1,2366422,3173
1,2381595,2347314
1,2364168,2342060
1,2413238,2357159
1,2344502,2375373
1,2409789,2368465
1,2388851,2404319
1,2377998,2402454
1,2394980,2401431
1,713472,2412165
1,2359623,2338365
1,2364886,1454
1,2361213,2371312
1,2395086,2342927
1,1160123,2348335
1,2380850,2321058
1,2369213,2324541
1,1592541,2347445
1,2404569,2365295
1,26,2376081
1,2400206,2323271
1,2392137,2417227
1,2397826,2362838
1,2376885,2315718
1,2346970,2357079
1,2337984,2407982
1,2373717,2358223
1,2363635,1159260
1,2364886,2359071
1,2369123,2359140
1,2388981,2351394
1,2398763,2369531
1,2395971,2357528
1,2371458,2408023
1,2396444,2319027
1,2346597,2376406
1,2367501,2350135
1,2400128,2377309
1,2345685,2390498
1,2379812,2375022
1,2354774,2378706
1,2379305,1159260
1,2352964,2408142
1,2388370,2404113
1,2361664,2408201
1,2386422,2355636
1,2387167,2375022
1,2356793,2410777
1,2404963,2354774
1,2367840,2390624
1,2346443,2402653
1,2363897,2398165
1,2347088,2396444
1,2376868,2342927
1,2403091,2396557
1,2322663,2376403
1,2398791,2349128
1,150490,2376233
1,2406626,2390630
1,2353818,2367829
1,2334350,2352456
1,2321029,2381048
1,2360870,2344899
1,2362483,2349413
1,2369504,2319797
1,2398946,2406626
1,2346597,2410411
1,2390708,2401203
1,2404328,2321058
1,2371840,2326240
1,2327468,2380774
1,3118,2355298
1,2356434,2395254
1,2369424,2352309
1,2345191,2390107
1,2318187,2363239
1,2398825,2342911
1,3154,2400687
1,2377113,2383870
1,2316584,2321128
1,2342313,2325348
1,2335444,2404600
1,2379678,2386693
1,2322107,2402007
1,2416460,2334681
1,2375613,2351899
1,2336189,2348724
1,4527,2409303
1,2384314,2401046
1,1510,2346875
1,2369505,2351867
1,2358947,2386259
1,2361522,2412118
1,2409689,2402283
1,2345339,2380935
1,2356208,2403573
1,2409355,2391770
1,1592769,1592473
1,2390873,2409619
1,2409164,2406015
1,2375956,2400901
1,2378572,2354226
1,2386292,2318242
1,2339769,2407890
1,2369974,2344605
1,2403017,2362623
1,2357967,2384314
1,498273,2345191
1,2403223,2348072
1,2363064,2353103
1,2318345,2346080
1,2395846,2388350
2,2385045,2376668
2,2352810,2403717
2,2333576,2340386
2,2404,2368709
2,2323617,2356793
2,2365515,2364777
2,2392957,2349585
2,2360602,2336189
2,2352698,2365727
2,2385901,2354680
2,2410247,2404383
2,2344795,2357707
2,2353355,2324359
2,2357707,2321827
2,2376680,2373009
2,2384477,2321029
2,2411502,2380760
2,2351404,2398479
2,2347793,3479
2,2377036,2353355
2,2336991,2343563
2,2334350,2411502
2,2355341,2408469
2,2403391,3452
2,2325679,630
2,2404328,2380967
2,2391922,2379029
2,2409155,2388562
2,2384980,2413212
2,2386942,2401399
2,2375882,2367285
2,2359623,2410777
2,2385901,2361213
2,2373933,2382270
2,2405805,2404226
2,2335444,2380760
2,2354704,2348326
2,2413085,2410490
2,2369716,2364811
2,2352306,2382434
2,2369548,2406860
2,2396113,2325255
2,2355716,2399321
2,2394781,2351218
2,4012,2368600
2,2372096,2411092
2,2376868,2416321
2,2397798,2397109
2,2342799,2382209
2,2382527,2374874
2,2368436,2331
2,2361059,2342532
2,2404945,2384239
2,2384314,2358000
2,2326603,285901
2,2350502,2322516
2,2323070,2364152
2,2411092,2354226
2,2373717,498207
2,2408706,2411735
2,2342060,2399849
2,2362838,2384477
2,2324752,2362926
2,3511,2380940
2,2317013,498019
2,2354192,2408469
2,2317030,4276
2,2386422,2404113
2,2365739,2344701
2,2409779,2322516
2,2345685,2387613
2,2372593,2413026
2,2413238,2317100
2,2384324,2403693
2,2416198,2342007
2,2380769,2381791
2,2379039,2381630
2,2334002,285616
2,2402759,2383460
2,2354718,2372096
2,2400477,2404153
2,2378257,2358409
2,2375044,2410411
2,2339617,2381630
2,2370834,2403091
2,2376232,2379029
2,2316615,2353818
2,2380717,2390089
2,2412836,2391217
2,2406716,2342518
2,2324436,2404383
2,2344899,2341732
2,2402385,2376868
2,2354420,2355341
2,2379110,2400206
2,2412024,2392829
2,2320217,2348187
2,2380774,2396871
2,2376538,2334350
2,3457,2396871
2,2409034,2357783
2,2374874,2318163
2,2409155,2411735
2,2392498,2417
2,2380291,4360
2,2352356,2343868
2,2377998,2380763
2,2396212,2376233
2,2360870,1592473
2,2373990,2390956
2,2396053,2376406
2,2412854,2346080
2,2370700,2390798
2,2375340,2342917
2,2341565,2403864
2,2362260,2367953
2,2319608,2374240
2,2316787,2345283
2,285749,2395685
2,2408711,2354325
2,2317030,2375022
2,2318963,2389117
2,2359516,2322107
2,2315522,2386663
2,2378572,2341732
2,2390177,2396113
2,2330404,2359935
2,2385265,2345022
2,2343563,2370700
2,2351525,2382175
2,2409355,2340467
2,2413085,2321285
2,2377309,713408
2,2335108,2371312
2,3700,2359996
2,2405728,2380767
2,4418,2358791
2,2358496,1636
2,2375310,2388801
2,2348672,1592283
2,2377097,2365739
2,2317013,2342473
2,713121,2400731
2,2409802,713768
2,2417227,2375882
2,2412190,2349543
2,2388093,2343233
2,2345022,2383853
2,2349128,2346771
2,2407546,2336009
2,2378621,2403956
2,285901,2362876
2,2398165,2395037
2,2361664,2369390
2,2385901,2387449
2,2402454,2361431
2,2366216,2373650
2,3601,2402759
2,2361431,2372606
2,2356911,2378257
2,1592769,2342418
2,1159928,2368955
2,2376403,2392445
2,1592473,2409213
2,2380318,2319252
2,2346923,2400477
2,2369505,2390149
2,2319623,2387316
2,2348335,2379621
2,2410923,2318242
2,2392029,2382270
2,2355286,2402642
2,2380767,2323563
2,2325751,2352055
2,2389493,2397756
2,2378706,2357528
2,2393533,2385451
2,2317358,2404383
2,2391954,2396240
2,2355303,2358947
2,2358617,2380043
2,2382527,2335010
2,2323271,2386158
2,2356793,2362873
2,2342212,2386667
2,1592325,2323343
2,2354160,2343596
2,2409303,2336614
2,2393604,2378257
2,2399197,2408030
2,2402283,2168
2,2361615,1592074
2,2405891,2402660
2,2322354,2323268
2,2368430,2354393
2,2320178,2412510
2,4418,2345351
2,2403091,2324542
2,2352810,2336813
2,2376406,2350502
2,2386094,2348611
2,2348685,2323268
2,2318163,2397214
2,2407422,2371855
2,2402277,2342919
2,2388988,2379621
2,2369548,2359719
2,2321165,4012
2,2318420,2404328
2,1592325,2399197
2,2354675,2390138
2,2408023,2406500
2,2398165,2409619
2,2392829,2368105
2,2390177,1159260
2,2344374,2382750
2,2380760,2379678
2,2389117,2377097
2,2375882,2373348
2,2406925,2378560
2,2347445,2387449
2,2410999,2384278
2,2378649,2388562
2,2343183,2398165
2,2344393,2317100
2,2341565,2366338
2,2400796,2402998
2,2333649,2334681
2,2316773,2375882
2,2392517,2377113
2,2411502,2353599
2,2410826,2322361
2,2360324,2354420
2,2316627,2354704
2,2355249,2409435
2,2398763,2412190
2,3118,2385451
2,2318892,2383653
2,2345063,2332399
2,2403956,2395968
2,2352395,2385903
2,2331683,2403693
2,2336813,2358577
2,2404020,2370700
2,2324752,2392829
2,2409164,2394206
2,2346876,2368985
2,713944,2362926
2,2381132,2362876
2,2395795,2381839
3,2376726,2350007
3,2369424,2375044
3,2346173,2358219
3,2410466,2339617
3,2382434,2324359
3,2386292,2328198
3,2395119,2350007
3,2376538,2409022
3,150452,2398740
3,2407575,2412118
3,2398829,2349948
3,2364710,2318035
3,2404319,2398791
3,2402536,2398740
3,713550,2348724
3,2352964,2340467
3,2346399,2348335
3,2386040,2383872
3,2389210,2404963
3,2323268,2317583
3,2346173,2408233
3,2321702,2410734
3,2359803,1159260
3,2396077,2392498
3,2417501,2402642
3,2339126,2342050
3,2379029,2382750
3,2346875,2388801
3,2387227,2347094
3,2334002,2344514
3,2353062,2344701
3,2361664,2354680
3,2383870,2362926
3,2385844,2390177
3,2363792,2404656
3,2338978,2403573
3,2349717,2315372
3,2356281,2402283
3,2353453,2393533
3,2351394,2352457
3,2375659,2320217
3,2407299,2409965
3,2345774,2363064
3,2390089,2396077
3,2369390,2318963
3,2385302,2392957
3,2321058,2344476
3,2318345,2342313
3,2409965,2406455
3,2398980,2322107
3,2390956,2319623
3,2399744,2404319
3,2402277,2382025
3,2400731,2362754
3,2396059,2379718
3,2367953,2336038
3,2341356,2412145
3,2386292,2365739
3,2317451,2404113
3,2402642,2375340
3,2404095,2366216
3,2369197,2388554
3,2372121,2331814
3,2329000,2385265
3,2376538,2320574
3,2342050,2380767
3,2388265,2406092
3,2411179,2395119
3,2388700,1518
3,2410592,2401513
3,2327139,2358219
3,2337984,2358119
3,2380291,630
3,2412124,2357783
3,2339617,3601
3,2365383,2336738
3,2410129,2386663
3,2358617,2357416
3,2367829,2389117
3,2390714,1592283
3,2404111,2341516
3,2395685,2316369
3,2404447,2318495
3,2400128,2404383
3,2383832,2413085
3,2319038,2340467
3,4311,2410826
3,2345685,2364039
3,2386942,2368793
3,2358119,2386667
3,2372606,2352964
3,3601,1518
3,2395119,2383840
3,2375741,2357416
3,2318246,2388340
3,2346970,2380291
3,2334681,2345063
3,2344682,2364777
3,2354211,2402653
3,2393533,2321128
3,2358617,2375044
3,2353062,2357545
3,2396176,2400496
3,2354420,2409789
3,2413238,2391922
3,2376379,2376215
3,2357783,2317458
3,1614,1707
3,2346062,2317284
3,2409022,2351404
3,2319998,713944
3,2370029,2376680
3,2351867,2397815
3,2404153,2396212
3,2318420,2408142
3,2416460,2336614
3,2412664,2327846
3,2362299,2326674
3,2359140,2390630
3,2398121,2406925
3,2383736,2342517
3,2379110,2324198
3,2404447,2317281
3,2328198,2359935
3,2401626,2357707
3,2400687,2352457
3,498358,2323271
3,2348722,2405891
3,2349717,2378560
3,2383653,2403330
3,2388030,2409034
3,2368853,2357707
3,2378560,2394198
3,2410005,2403915
3,2371073,2339617
3,2409034,2382988
3,2336267,2412280
3,2380039,2410734
3,2318792,2383149
3,2317414,2352196
3,2363239,2362260
3,2321532,2376081
3,2409022,2384857
3,2409303,2395795
3,2342160,2351899
3,2331,2412124
3,1454,2319027
3,2398791,2390624
3,2317284,2403573
3,2318187,2316615
3,2348672,2321285
3,2395254,2402536
3,2324373,2376081
3,2353587,285616
3,4276,2342313
3,2378648,2362253
3,2400881,2367039
3,2316369,2336286
3,2369974,2334407
3,2352587,2366422
3,1715,498002
3,2381839,2369213
3,2382074,2321029
3,2369418,2370700
3,2342050,2319490
3,2403063,150490
3,2383840,2357416
3,2385926,2409435
3,2326848,2315372
3,2317451,2353705
3,2371186,2366363
3,2394980,1592325
3,2358947,3154
3,2387316,2411182
3,2380760,2383149
3,2343531,2380702
3,2348754,2340377
3,2394205,2373650
3,2393604,2386036
3,2356911,2402667
3,2320217,2397756
3,2377985,2388851
3,2383504,2326294
3,2382175,2362339
3,2326555,2354393
3,2378572,2344317
3,2376885,2367285
3,2336747,2384314
3,2412279,2357079
3,285901,2367953
3,2326240,2334660
3,2340386,2413212
3,2374240,2343086
3,2400687,2365727
3,2410490,2354160
3,1159928,2396053
3,2326512,2380485
3,2400796,2402008
3,2402728,2396801
3,2331,2365296
3,2323617,2355249
3,2366338,2402277
3,2378257,2392615
3,2397940,2375851
3,2342532,2375915
3,2400496,2356432
3,2356942,2323956
3,3209,2323202
3,2346771,2317030
3,2403071,2352098
3,1592073,2406500
3,2402385,2383460
3,2369213,2383840
3,2356793,2416698
3,2393443,2361786
3,2369005,1592170
3,2339812,2391675
3,2359316,2378282
3,2367829,2328910
3,2376966,2361615
3,2321827,2358079
3,2361059,2359087
3,2292,2380717
3,2376215,2390149
3,2355636,2380769
3,2323956,2322592
3,2401431,2402386
3,2375859,2384857
3,2318345,2402653
3,2319038,150406
3,2412854,2364811
3,2412279,2352527
3,2396801,2317175
3,2405206,2351218
3,2342919,2319027
3,2364761,2408030
3,2417501,2404153
3,2375373,2335108
3,2369531,2368692
3,1592074,2322592
3,2400846,2327414
3,2355298,2410490
3,2404319,2360064
3,2343563,2358791
3,2397940,2363897
3,1159260,2364039
3,2409658,2393533
3,2352908,2319252
3,2359316,2340433
3,2406015,2395254
4,2376215,2342517
4,2365295,2326603
4,2332422,2392498
4,107910,2404095
4,2395971,2397540
4,2369424,498391
4,2378648,2396227
4,2355224,2342212
4,2347402,2397474
4,2340448,2401717
4,2404656,2360837
4,2395685,2388370
4,2381839,2326684
4,2327270,2379678
4,2361431,2354675
4,2346108,2413734
4,2358791,2352309
4,2383149,150406
4,2376403,2343715
4,2373481,2376379
4,2345191,2366216
4,2341732,3452
4,2404836,2322361
4,2369418,2321715
4,2412118,2359316
4,2410479,1510
4,2411092,2399491
4,2390714,2388093
4,2340448,2382209
4,2374977,2354108
4,3209,2396419
4,2336286,2388301
4,2318501,2392498
4,2347445,2332399
4,2397815,2404020
4,2364152,2318892
4,2404600,2344899
4,2382988,2395162
4,2375096,2317451
4,2352356,1591943
4,2399321,2369548
4,2361786,2379084
4,2393038,2364168
4,2381791,2369974
4,2363064,2389210
4,2412998,2384594
4,2358409,2354160
4,2412446,2397826
4,2351404,2375741
4,2406716,2317358
4,2346443,2403091
4,2354108,2328910
4,3452,2352964
4,2347507,2385302
4,2402008,2316787
4,2352196,2319998
4,2398873,2342925
4,2387167,2379621
4,2324542,2408706
4,2404447,2354377
4,2364771,2350359
4,2340501,2414925
4,2324436,2336038
4,2383504,2396801
4,2378347,2353587
4,2342927,2352273
4,2371312,2390873
4,2318501,2387613
4,2390398,2385926
4,2357778,2417
4,2410999,2358409
4,2401626,2342911
4,2408142,2345568
4,2396053,2359071
4,2367501,2388276
4,2392029,2358617
4,2342473,2319252
4,2352587,2366401
4,2320217,2404963
4,2394751,4276
4,2343233,2319608
4,2344682,2412280
4,2403330,2352055
4,2368430,3860
4,2398222,2345774
4,2323617,2401046
4,2376379,2379029
4,2410578,2398882
4,2404383,2404111
4,2337984,2412145
4,2380763,2396557
4,2318163,2375842
4,1592541,2372121
4,2384324,3511
4,2380043,2349737
4,2368105,2365727
4,498138,2367096
4,3479,2410682
4,2383191,2354718
4,2380940,2384594
4,2362623,2396113
4,2407982,2385410
4,2320061,2379718
4,2364771,2404583
4,2396227,2413734
4,2321702,2324198
4,2347507,2345031
4,2327147,2353103
4,2352306,2404569
4,2408664,2319623
4,2317358,2346556
4,2405891,2346876
4,2357778,2324373
4,2340386,2379084
4,2354393,2374240
4,2352457,2321376
4,2396227,2350200
4,2380769,2376538
4,2320574,2390177
4,2390798,2383832
4,2323563,2356208
4,2339126,2321761
4,2351394,2409779
4,2320586,2376668
4,2338990,2394781
4,2351867,2354718
4,4360,2341356
4,2398479,1592074
4,26,2395685
4,3457,2396227
4,2380292,2349737
4,2380774,2406508
4,2385844,2384477
4,2412836,2357159
4,2362754,2357655
4,2364039,2400723
4,1707,2411092
4,2390089,2327270
4,2391663,2399918
4,2383191,2406500
4,2347793,2324541
4,2376726,2371840
4,2371855,2322180
4,2410466,2372606
4,2345568,2318035
4,2365739,2412165
4,2402998,2316627
4,2364886,2411646
4,2402692,2381630
4,2400723,2368436
4,2412446,2353587
4,2375111,2392829
4,2347088,2406194
4,2402667,498002
4,2384314,2342418
4,1592073,2403017
4,2353453,2364168
4,2348754,2369716
4,2363897,2416198
4,2408142,2373933
4,2328327,2397940
4,2376215,2346148
4,1592074,2386259
4,2316627,2330404
4,2416321,2332981
4,2360602,2396444
4,2336286,2342925
4,4360,2370000
4,1454,2363064
4,2380940,2413238
4,2351238,2389555
4,2412279,2356434
4,2394205,2381791
4,2408711,2358004
4,2376966,498069
4,2318501,2327796
4,2346923,2371840
4,2347793,2391217
4,2342919,713121
4,2352725,2332399
4,2347094,2399849
4,2357655,2348554
4,4311,2403543
4,2365739,2317284
4,2386924,2381630
4,2401431,2412671
4,2405432,2388030
4,2394205,2359316
4,2342799,2409779
4,2370029,2362339
4,3511,2403717
4,2327468,2397756
4,2358496,2391675
4,2411182,2318892
4,2340448,2386422
4,2400496,2371458
4,2404359,2366216
4,2391081,2383202
4,2354325,2390177
4,2385926,2384857
4,2324542,2352098
4,2394980,2339812
4,2407982,2352273
4,2336327,2378706
4,2369390,2409965
4,2378649,2357416
4,713813,2355303
4,2392727,2346080
4,2388301,2342212
4,2412279,2376769
4,3511,2321532
4,2346399,2347314
4,2343868,3118
4,2323070,2345568
4,2375096,2382988
4,2388265,150452
4,2355952,2406092
4,2348722,2351238
4,2358004,2351218
4,2403071,2369197
4,2326674,2353818
4,2381132,2350135
4,2397940,2396176
4,2404095,2373009
4,2350254,4012
4,2362873,2376215
4,2368436,2367285
4,2336991,2352273
4,2380318,2403693
4,2355303,2353752
4,2325348,2355768
4,2396801,2361522
4,2409355,2394206
4,2370834,2333346
4,2390714,2364039
4,2355341,2356281
4,2357967,633
4,2318193,2321715
4,2412190,2406860
4,2390708,2404836
4,2363635,2416698
4,2380291,2317458
4,498019,2316584
4,2368836,2342917
4,2413299,713121
4,2394781,2354192
4,2348554,2345063
4,2406092,2355286
4,285616,2391675
4,2352908,2410005
5,2402007,2321285
5,2404583,2412024
5,2392517,2404600
5,2400477,2356208
5,2321029,2338365
5,2412118,2344476
5,2386292,2368600
5,2373717,2403717
5,2403391,2368692
5,2380318,2392334
5,2318242,2396202
5,4360,2386158
5,1159928,2328902
5,2327139,2397474
5,2406015,2315372
5,2412165,2384239
5,2368793,2370000
5,2380485,498069
5,2396053,2359803
5,498207,2342927
5,2390798,2327846
5,2327468,2407890
5,2350135,2357967
5,2352810,2378621
5,2354226,2380763
5,4418,2318420
5,2388554,2382988
5,2356942,2398829
5,2390498,2368600
5,2399849,2413299
5,2407505,2396557
5,2414925,2394206
5,2322592,2364777
5,2399993,2375310
5,2402728,2342927
5,2357778,2369197
5,2326512,2341466
5,2404153,2322180
5,498019,2366422
5,2410777,2396202
5,2334660,2316559
5,2355249,2372551
5,2385405,2350502
5,2344899,2408469
5,2366467,2377985
5,2402660,2343086
5,2382434,2363636
5,2354272,2409779
5,2412664,2349543
5,713944,2346854
5,2339812,2369197
5,2339812,2323563
5,2409619,2325199
5,2400846,2346875
5,2382988,2345568
5,2340197,2320586
5,2315718,2324542
5,2375842,2376403
5,2352055,2343233
5,2369424,2352098
5,2318892,2401203
5,2367840,2386924
5,2359719,2323202
5,2390089,2354420
5,2410490,2333649
5,2395037,2392957
5,2353103,1593144
5,2404226,2352395
5,2409649,2384278
5,2375859,2404359
5,2318193,2379029
5,2406508,2349701
5,2326555,2340377
5,2342007,2364777
5,2387494,2377985
5,2316559,2369390
5,2319797,2404804
5,2319623,2408706
5,2375956,2390089
5,436,2379084
5,2376726,2398825
5,2351218,2322354
5,2380967,2398464
5,2321058,2350359
5,2321715,2336669
5,2368793,2380850
5,2371186,2326555
5,2380760,2339126
5,2359071,2412836
5,2397815,2320623
5,2392498,2376769
5,2354272,2399849
5,2342518,2352356
5,2381630,2380940
5,2392029,2401399
5,2379718,2397756
5,2380039,2402454
5,2344502,2315718
5,2323563,2387316
5,2356793,2395086
5,2346570,2378347
5,2380471,2378282
5,2356793,26
5,2343183,2336747
5,2404020,2362930
5,2384980,2364710
5,2342517,2404447
5,2362260,2398829
5,2388700,2385901
5,2396801,2407982
5,2380060,3860
5,2354393,2368105
5,2378590,2346970
5,498358,2386422
5,2336267,2344795
5,2324359,2409815
5,2375111,2379621
5,2368853,2352098
5,2406508,2369005
5,2380060,2362873
5,2326603,2355716
5,2395846,2344605
5,2327147,2343233
5,2356432,2378572
5,2363064,2404656
5,2397540,2321165
5,2375882,2350394
5,2403693,2344374
5,2358791,2412510
5,2383872,2315522
5,2317414,2410411
5,2377998,2411735
5,3457,2380094
5,2360064,2417501
5,2366401,713472
5,2400128,2403864
5,713768,2412335
5,2340501,2317458
5,2389210,2401431
5,2402952,2408710
5,2361213,2380060
5,2362483,2369390
5,2354675,2367039
5,1518,2375111
5,2350112,2360837
5,2350254,2338978
5,2407575,2379039
5,2387227,2410999
5,2396444,2396053
5,2366216,2404656
5,2388700,2316559
5,2372593,2346062
5,2368709,2388301
5,2404020,1592170
5,2349128,2386667
5,2411207,2414925
5,2378282,2334407
5,2370000,2318501
5,2404,2398740
5,2379621,2410923
5,2328327,2332981
5,2400206,2350394
5,2364168,2388801
5,2411179,2400687
5,2383853,2357545
5,2340197,2410479
5,2402952,2410578
5,2323956,2386663
5,2352196,2404
5,2398873,2416698
5,2378347,2389769
5,2364886,2396061
5,2382175,2379812
5,2335444,2368793
5,150406,2346923
5,2412510,2400901
5,2383736,2412124
5,2354160,2402386
5,2319998,2369418
5,2316787,2343596
5,2362339,2381132
5,2321165,2342473
5,2350359,2318242
5,2346570,2410479
5,2324752,2396202
5,2396176,2375659
5,630,2368436
5,2350394,2363636
5,2342007,2324451
5,2317451,2400477
5,2385844,2376081
5,2341565,2361570
5,2348072,2401626
5,2401626,2394980
5,2406015,2359087
5,2320586,2345685
5,2381132,2359140
5,2374729,2385903
5,2321532,2398464
5,2407546,2411207
5,2338990,498002
5,2405728,2335010
5,2343183,2389769
5,2364761,2393443
5,2354393,2344502
5,2375956,1592977
5,2357655,2327846
5,2356942,2317451
5,2344230,2392517
5,2384477,2318105
5,2410923,2355952
5,1707,2321532
5,2392334,2393493
5,2354377,2376966
5,498391,2342517
5,2343293,2400723
5,2323268,2380935
5,2364710,2317583
5,2407505,2346875
5,2369531,2317583
5,2398165,2327270
5,285616,2408319
5,2320451,2346108
5,2397756,2375741
5,2416321,1715
5,2368692,2406626
5,2382988,285616
5,2359623,2344502
5,2364771,2358223
5,2408030,2322516
5,2347445,2345031
5,2409802,2351218
5,2402536,2328752
5,2356942,2354325
5,2324373,2336038
5,2354774,2321376
5,2346062,2370029
5,2379305,2409155
5,2322180,2324541
5,2390177,2352698
5,2327147,2396419
5,2362926,2326294
5,2390177,2359043
5,2384324,2416321
5,2395968,2323202
5,2389555,2346399
5,2395968,2362253
5,2387449,2399918
5,2380935,2404569
5,2319038,2404656
6,2395086,2402667
6,2393493,2323070
6,2391285,436
6,1591943,2350394
6,2352306,2392727
6,2384239,2392445
6,2348722,2403017
6,2368985,2398740
6,2318193,2403223
6,2395846,2378266
6,2352964,2368105
6,2368465,2406329
6,2359071,2388981
6,2377097,2356434
6,2389555,2401203
6,26,2409164
6,2359087,2380850
6,2403956,2369123
6,2402759,1592769
6,2390138,2376232
6,2363635,2372606
