session_id,image1,image2
1,2342911,2390435
1,2414925,2386422
1,2320586,2398980
1,2369974,2317030
1,2382434,2355249
1,2382988,2414926
1,2353355,2324542
1,3479,2409965
1,2378648,2316559
1,2412854,2395846
1,2387316,2373990
1,2384594,600
1,2360602,2323956
1,2361786,2317013
1,2315718,2317100
1,2342007,2380813
1,2402092,2398121
1,2353914,2345568
1,2380763,2292
1,2328198,2383653
1,2352725,2320451
1,2374874,2326294
1,2322663,2386121
1,2412998,2369182
1,713472,2414414
1,2319797,2393443
1,2354802,2371458
1,2323271,1636
1,2415569,2348554
1,2398825,2354393
1,3511,2396801
1,2348187,2390829
1,285822,2369197
1,2410777,2378048
1,2322516,2409649
1,2328902,498069
1,1614,2334681
1,2408319,2400901
1,2369424,2380813
1,2347793,2383712
1,2403915,2408030
1,2379812,3601
1,2386040,2343271
1,2369531,2404018
1,2379517,2352869
1,2345006,2357835
1,2383736,1592541
1,2378560,2380625
1,2344501,2349413
1,2410923,2411179
1,2406860,2326603
1,2352098,2399491
1,2319608,2317451
1,2382135,2331683
1,285822,2362930
1,2348554,2338990
1,2404986,2366422
1,2316083,2388442
1,2375096,2386693
1,2385302,2356035
1,1454,2168
1,2384980,1592166
1,2384278,2409034
1,2325679,3511
1,2350702,1292
1,2345351,2356793
1,2392957,2395661
1,2413299,2354239
1,2366401,2346556
1,2402660,2379678
1,2400731,2390173
1,2384214,2403223
1,2367501,2384324
1,2378590,2334897
1,2323268,2340467
1,1160123,2317414
1,2366338,2326848
1,2388093,2379305
1,2405805,2365515
1,2404349,2387316
1,2383870,2402454
1,2379678,2386693
1,2402805,2345568
1,2390398,2376403
1,2398867,2333576
1,3860,2356432
1,2349948,2341356
1,2415569,2407020
1,2377985,2320626
1,2352385,2358617
1,2317281,2417501
1,2403017,2380702
1,2397214,2394206
1,2343868,2345339
1,2334576,2350359
1,2411668,2399985
1,2317583,2397214
1,2413539,2371855
1,2409303,2320178
1,2392615,2335002
1,2412280,2321128
1,2372788,2390708
1,2404206,2402642
1,3860,2316369
1,2403624,2374729
1,2414564,2387527
1,2318163,2379517
1,2320574,2409815
1,2397554,2357655
1,2390471,2390149
1,2328327,150452
1,2389062,2352964
1,2336038,2359046
1,2378734,2322220
1,2400846,2389210
1,2370948,2410043
1,2349701,1592769
1,2345570,2393724
1,2380043,2402998
1,2408233,2413247
1,26,2368430
1,2392035,2395086
1,2357416,2318242
1,2320377,2355298
1,2378234,4276
1,2408800,2393443
1,2349413,2392671
1,2390795,2384239
1,2336738,2326674
1,2364168,2390089
1,2352964,4311
1,2316369,2391770
1,2397474,2356035
1,2410594,2391275
1,2328241,2342919
1,2344260,498002
1,2354192,2359935
1,2404,2319027
1,2380060,2334187
1,2404836,2371855
1,2324657,2402998
1,498358,2404
1,2368105,2396240
1,2382135,2362483
1,2317792,2325199
1,1636,2394245
1,2397940,2394245
1,2358409,2396641
1,2345339,2399491
1,3154,2342050
1,2417501,2349017
1,2362873,2408469
1,2410682,2346443
1,2390177,2385264
1,2390065,2321376
1,2334660,2388554
1,2411179,2346876
1,2346570,2403543
1,2385045,2364761
1,2334002,2363064
1,2328902,2364039
1,2388700,2375915
1,2404656,2375044
1,285616,2408201
1,2413299,2386040
1,2397109,2354393
1,2380291,2324752
1,2411092,2397798
1,2406015,2404656
1,2352098,2397474
1,2404750,2375741
1,2349543,2407546
1,2370700,2353818
1,2381839,2398464
1,2356841,2368600
1,498138,2374240
1,2336286,2368955
1,2317358,2375022
1,2336267,2372551
1,2359999,2394751
1,2324373,2409303
1,2406860,618
1,2383460,2363897
1,2395037,713813
1,2325751,2333649
1,2369424,2355952
1,2385405,2368793
1,1593144,2396301
1,2317281,2334407
1,2402660,2391217
1,2410592,2367285
1,2345351,2380081
1,2404963,2396240
1,2336747,2414414
1,2317284,2386667
1,2334002,2359087
1,2354718,2410614
1,713673,2320187
1,1159260,2410247
1,26,2382175
1,2396113,2408233
1,2353129,2372602
1,2411502,2317583
1,2402386,3154
1,2406500,2345022
1,2384477,2392565
1,2364191,2344476
1,2386693,150406
1,2325679,2320178
1,2320574,2395795
1,2344393,2349717
1,2334350,2382750
1,3173,2406925
1,2373933,2348754
1,2378512,2404113
1,2363239,2404206
1,2402759,2397109
1,2348072,2402667
1,2322180,2346970
1,2392675,2326240
1,2347445,2386036
1,2395968,2386292
1,2406103,2407505
1,2378512,2410479
1,2395254,2347518
1,2410242,2345002
1,2413299,498391
1,2368836,2365296
1,2398882,2353587
1,2371647,4398
1,2348335,508
1,2504,2394206
1,2403446,2379039
1,2352306,2398464
1,2391217,2351404
1,2391954,2404319
1,2356281,2393533
1,2391675,2360064
1,2362623,2390173
1,2404018,2349737
1,2318501,2364710
1,2379110,2400477
1,2355298,2389210
1,2396077,2359935
1,2401513,2354211
1,2402931,2349449
1,2388030,2414859
1,2352722,2326674
1,2399865,2379812
1,2355607,2372593
2,2381982,2383946
