session_id,image1,image2
1,2371865,2383254
1,2318246,2397815
1,2384278,2410592
1,2371274,2318319
1,2329000,2389117
1,2362260,2387227
1,2359046,2392615
1,2407890,2373650
1,2363241,2354160
1,2364191,2367829
1,2406500,2331683
1,2320451,2381595
1,2383712,2371682
1,2411646,2351394
1,2358119,2348554
1,2380060,2371682
1,2342917,2408201
1,2336009,2403573
1,2371487,2359999
1,2376232,1592541
1,2386422,2400687
1,2358577,150452
1,2378347,2405577
1,3700,2348611
1,2328241,2396871
1,2378512,2347402
1,2397826,2409034
1,2335311,2365296
1,2414926,2328902
1,2384239,2396227
1,2359999,2375915
1,2356432,2380813
1,2316584,2318193
1,2326603,2381624
1,2381839,2316369
1,2385844,2335010
1,2373717,2390089
1,2326240,2406015
1,2395162,2389062
1,2343086,150490
1,2342346,2415717
1,2403543,2380767
1,2397815,2410242
1,2356793,2360837
1,2354393,2402385
1,2356035,2403915
1,2318193,2391217
1,2402667,2352306
1,2321761,2364710
1,2346570,2411092
1,2380039,2404018
1,2398867,2331683
1,2397474,2387527
1,2378719,2392727
1,2399197,2412664
1,2380767,2408233
1,2345006,2395971
1,2403624,498358
1,2325751,2328902
1,0,-1
1,2325679,2387527
1,2352395,2325348
1,2391305,2368105
1,2368600,2409034
1,2389117,2325255
1,2414564,2353129
1,2396061,2342917
1,2341565,2396444
1,2401098,2359968
1,2356968,2344795
1,2386036,2346875
1,2390708,2361431
1,2364039,2326294
1,2387887,2408469
1,2400477,2354675
1,2342919,2408469
1,2343868,1159928
1,2324542,2358219
1,2402536,2410466
1,150406,2412190
1,2383872,2371073
1,2349449,2390829
1,2342050,2395661
1,2346875,2318319
1,-1,0
1,2363018,2323956
1,2345774,2358577
1,2353587,2322663
1,2392675,2398873
1,2375741,2407422
1,2402759,2393604
1,2358947,2403017
1,2352273,2412510
1,2378706,2352810
1,1592769,2342060
1,2381132,2392854
1,2388093,2402491
1,2389769,2410119
1,2359043,2409213
1,2412145,2364168
1,2370507,2320178
1,2365739,2402007
1,2355286,2416829
1,2395086,2350112
1,2383202,2337881
1,2343531,2386924
1,2352395,2318246
1,2369340,2353129
1,2413238,2345570
1,2409779,2342919
1,2383504,2388988
1,2410247,2388442
1,2408319,633
1,2356035,2328327
1,2323617,2386040
1,2357655,2368692
1,2379029,2320451
1,2329000,2364152
1,2342418,2396871
1,2318963,2404319
1,2348611,2402660
1,2402386,2416460
1,2404600,2373650
1,2390435,2345351
1,2352306,2401626
1,2386036,2404349
1,2341732,2376587
1,2401626,2363064
1,2504,2396059
1,2414859,2350720
1,1593244,2381132
1,4527,2412118
1,2415569,2354680
1,2355483,2402998
1,2398464,2342518
1,2327139,2351218
1,2402092,2349017
1,2386422,2379110
1,2355286,2383872
1,2404836,2410043
1,2373650,2358791
1,2394781,2401513
1,2347445,2380291
1,2410479,2317175
1,2410466,2328902
1,2322663,2358496
1,2323617,2352273
1,2324541,2388554
1,2334407,2392029
1,2326240,2354774
1,2390624,2361664
1,0,-1
1,2369505,2380032
1,2349701,2367096
1,2360837,2413238
1,2326294,1591943
1,2350720,2351394
1,2385903,2378282
1,2360064,2346854
1,2377309,2369390
1,2411207,2318501
1,2322516,2168
1,2324436,2380850
1,2362483,2404569
1,2320626,2364761
1,498019,2404
1,2328241,2320451
1,2375044,2359087
1,2342919,2345393
1,2389210,2392615
1,2334002,2370000
1,2322180,2348611
1,2355303,2398523
1,2383736,2407505
1,2410682,2352810
1,2413085,2345191
1,2333649,2386608
1,2355249,2412664
1,-1,0
1,2365515,2380291
1,2379039,2410594
1,2336747,2344501
1,2388902,3700
1,2394980,2407890
1,3601,2397756
1,2376668,2411092
1,2365739,2402007
1,2386422,2400687
1,2403915,3457
1,2377998,2386094
1,2373717,2409755
1,2367285,2387449
1,2355607,2357545
1,2404328,2408664
1,2403383,2376232
1,2389769,2317358
1,2334187,2400881
1,2378649,2411646
1,2392829,2362483
1,2387227,2315718
1,2363792,2344260
1,2330091,2410119
1,2337881,2338365
1,4311,2379305
1,2361056,2410923
1,713472,2399744
1,2359999,2407299
1,2358791,2396240
1,2397540,2379110
1,2394058,2364039
1,2396077,2408802
1,2360629,2328327
1,2359719,2414564
1,2395795,2324657
1,2394058,2393533
1,2335002,2318166
1,2336286,2362299
1,2340467,2403017
1,2396202,2409689
1,2404206,2365509
1,2415717,2356968
1,2416198,2404986
1,2411092,2403864
1,2410411,2362838
1,2336038,2398882
1,2402998,2318420
1,2346875,2386259
1,2357655,2389493
1,2323271,2317583
1,4398,2412280
1,2391663,2401046
1,2390065,2362623
1,2358119,2348554
1,2359968,2386693
1,150490,2355298
1,2347793,2399985
1,2336738,2407020
1,2366216,2400249
1,2318501,2325348
1,2366562,2388700
1,2402008,2327147
1,2359071,2350702
1,2404836,2324541
1,2396801,2404963
1,2384314,2379110
1,2340433,2396113
1,2403534,150452
1,2328241,2396871
1,2402998,2399993
1,2362930,2320217
1,2380485,2408233
1,2372593,2354802
1,2372593,2354802
1,2345570,2407299
1,2379084,2319490
2,2383254,2352064
2,2397815,2352098
2,2410592,2383191
2,2404447,2414859
2,2321029,2388562
2,2317451,2345283
2,498002,2318892
2,2388265,2412446
2,2377998,2360064
2,2400128,2390856
2,2410479,2327139
2,2366363,2348722
2,2362876,2170
2,-1,0
2,-1,0
2,2390798,2321827
2,2403543,2370507
2,2335002,2362260
2,2398791,2317596
2,2324489,2390795
2,2315522,2324541
2,2409965,2379718
2,2342007,2410259
2,2369505,4360
2,2377113,2354108
2,2408800,2364761
2,2410043,3860
2,2400477,2320187
2,2335002,2369197
2,2404963,2380850
2,285822,2383736
2,2412145,2317100
2,2408711,2344476
2,2366401,1593144
2,0,-1
2,2385128,2398791
2,2378078,2350112
2,2383832,2375373
2,2380314,2359803
2,2362754,2368836
2,2336669,2382209
2,2375426,2372708
2,2382750,2392035
2,2404020,2335005
2,2355607,2317284
2,2357783,2380625
2,2401203,2378282
2,2348382,2332399
2,2403091,2359719
2,2380760,2409779
2,2351867,2410242
2,2372708,2365509
2,2413085,2386121
2,2317358,2357707
2,2391922,2408233
2,2344317,2407422
2,2390435,2369424
2,2379812,2368985
2,2407299,2369548
2,2401399,2410479
2,2402759,2348382
2,2388554,2411735
2,2387316,2404613
2,2402454,2367096
2,2316083,2371487
2,2336286,2382988
2,2352698,1591943
2,2377113,2371312
2,2384060,2396113
2,2406103,2380763
2,2366562,2396061
2,3860,2395661
2,2366467,2344374
2,2383946,2336267
2,2389062,2328198
2,2352725,2346771
2,2351404,2366338
2,2408706,2371458
2,2363792,2380043
2,2344260,2360748
2,2339126,1707
2,2356281,2349585
2,2383149,2317175
2,2390829,2402491
2,2406716,2366338
2,2397826,2320586
2,2360324,2407505
2,2396227,2386608
2,2404804,2404656
2,2375842,2341565
2,2367285,2383504
2,2406103,2380763
2,2363064,2412510
2,286069,2396301
2,2324542,2385753
2,2343646,2344393
2,2356035,1510
2,2399993,2366422
2,1159928,2332981
2,2381839,2388902
2,2416198,2352098
2,2383870,2403717
2,713813,2377851
2,2380769,2334187
