image_id,matrix_index,rating,standardized_rating,normalized_rating,rank,standardized_rank,normalized_rank,parameter,std_error,ci_lower,ci_upper,p_value
2361431,92,0.005394465044456906,1.0,1.0,1,0.0,1.0,0.0766723946756378,0.35692662010020015,-0.6228909258443647,0.7762357151956403,0.8299132990744766
2385405,136,0.0053933629263925335,0.9986,0.9986,2,0.005,0.995,0.0764680684533093,0.3571436029919304,-0.6235205307197457,0.7764566676263643,0.8304611650471996
2349948,68,0.005391002832426941,0.9957,0.9957,3,0.0101,0.9899,0.07603038040450774,0.31926532815774905,-0.549718164297042,0.7017789251060574,0.8117712114339839
498002,10,0.005368020781758574,0.9673,0.9673,4,0.0151,0.9849,0.0717582296133597,0.3687169823748331,-0.6509137763296031,0.7944302355563224,0.8456935649659583
2326294,36,0.005343077150537396,0.9365,0.9365,5,0.0201,0.9799,0.067100690961396,0.3815488344984711,-0.680721282998841,0.8149226649216331,0.8604008156564409
2371682,111,0.005342752119291268,0.9361,0.9361,6,0.0251,0.9749,0.06703985689077405,0.33651788241985625,-0.5925230728058288,0.726602786587377,0.8420935273995152
2359046,89,0.00534227013824406,0.9355,0.9355,7,0.0302,0.9698,0.0669496406917024,0.3365657654137658,-0.5927071379484352,0.72660641933184,0.8423253740612004
2334681,41,0.005314845350722088,0.9016,0.9016,8,0.0352,0.9648,0.061802873146813465,0.327286613573523,-0.5796671020793697,0.7032728483729965,0.8502228446134146
2408800,183,0.005296286707812736,0.8787,0.8787,9,0.0402,0.9598,0.05830491237690061,0.41171757967571065,-0.7486467155894925,0.8652565403432937,0.8873850249281774
2387494,144,0.005293947438114124,0.8758,0.8758,10,0.0452,0.9548,0.05786313371470619,0.3813714214012403,-0.6896111169645728,0.8053373843939852,0.879404759059401
2349737,67,0.005293566098244228,0.8753,0.8753,11,0.0503,0.9497,0.05779109793996993,0.3814462713275083,-0.6898298558990398,0.8054120517789797,0.8795772002622573
