session_id,image1,image2
1,2363897,2369390
1,498002,2349701
1,2358409,2351394
1,2366562,2355303
1,498391,2391922
1,2405577,2325679
1,2361522,2386608
1,2322107,2345685
1,2396717,2322592
1,2396053,2352385
1,4360,2319252
1,2410466,2353355
1,2403091,2358947
1,2378347,2318319
1,2345568,2359046
1,2394751,4276
1,2378719,2397940
1,2405882,2343496
1,2342060,2366422
1,2393443,2383202
1,2360629,2348072
1,2354325,2402386
1,2351725,2345022
1,2392128,2400206
1,2355298,2336669
1,2411092,498069
1,2381982,2367096
1,2385264,2407575
1,2317100,2379084
1,2379305,2372121
1,2392957,1592977
1,2349585,2362623
1,2334681,1510
1,2316083,2368853
1,2390624,2409815
1,1518,2382025
1,2323271,2381061
1,2380767,2343531
1,2379718,2325199
1,2380940,2402692
1,2354108,2371682
1,2410043,2401046
1,2412446,2368430
1,2336038,2375842
1,2390149,2381839
1,2387449,2361431
1,2362754,2396444
1,2324752,2386942
1,2334660,2328910
1,2397109,2317792
1,2324373,2406015
1,2396871,2320061
1,2412854,4527
1,2362260,2357783
1,2409779,2339617
1,3173,2410242
1,2352064,2398851
1,1715,2334576
1,2317281,2389493
1,2336813,2356281
1,2325748,2410826
1,2395119,2406500
1,286069,2385405
1,2372606,2317284
1,2366216,2342911
1,2410490,2366401
1,2385156,2384477
1,2389493,2388442
1,2360064,2414925
1,2405577,2343868
1,2386422,2351394
1,2323271,2366216
1,2348072,2407575
1,2317284,2400881
1,2406500,2366562
1,2323271,2383460
1,2380767,2343868
1,2317281,1518
1,2396053,2385264
1,2361431,2385156
1,2325748,3173
1,2371274,2352064
1,2342517,2408800
1,2410242,2382025
1,2351725,2387449
1,2353355,2343868
1,2316083,2385405
1,4276,2358947
1,2397109,2367829
1,2346561,2342925
1,2363897,2390149
1,2370000,2359046
1,2367096,1592977
1,2407575,2336813
1,2366422,2381982
1,2395971,2318319
1,2393724,2349543
1,2394751,2322592
1,2367829,2342799
1,2366401,2345568
1,2385901,2375842
1,2339617,2322592
1,2386942,2367829
1,2393443,2391922
1,3700,2410682
1,2395119,2349701
1,2361522,2385405
1,2409815,2408800
1,2343496,2317792
1,2412335,2409815
1,2324752,2406860
1,498069,2354108
1,1715,2383872
1,286069,2348685
1,2362260,2379718
1,2384477,2317792
1,2334576,2342911
1,2397109,2381839
1,2372606,2322663
1,2320626,2372121
1,2410682,3700
1,2396717,2333576
1,2374977,2410466
1,2355303,2358947
1,2371682,2352869
1,2357783,2379718
1,2316083,2368853
1,2321128,2384477
1,2385264,2345568
1,2410490,2355303
1,2326294,2325199
1,2401046,2334576
1,2384477,2397554
1,1510,2320626
1,2371682,2387887
1,2386422,2334681
1,2317281,2355298
1,2363897,2398851
1,2380940,2397109
1,2389493,2413212
1,2410043,2385903
1,2325748,2356208
1,2409779,2342517
1,2357783,2358947
1,2379305,2387494
1,2391922,2342517
1,2346561,2366422
1,2410734,2402092
1,4276,2375842
1,2322663,2346561
1,2379305,150406
1,2361522,2358947
1,2325751,2410734
1,2381982,2402642
1,2392128,2366401
1,2395119,2392957
1,2326294,2368430
1,2409815,2385156
1,2361786,2328910
1,498391,2355298
1,2369390,2357783
1,2343868,2358119
1,2361431,2410242
1,2396053,2378719
1,2378347,2366422
1,2325679,2390149
1,2324489,2398851
1,2371274,2360064
1,2361522,2345351
1,2400206,498002
1,498069,2358119
1,2366562,2345351
1,2321128,2396444
1,2383872,2410242
1,2317100,2319252
1,2399197,2324489
1,2333576,2372606
1,2357707,2352385
1,2320626,2358223
1,498002,2320061
1,2367096,4527
1,2322107,2348722
1,2387887,2319252
1,2324373,3700
1,4527,2362623
1,2397109,2404804
1,2386942,2356281
1,2412854,2342911
1,2379305,2322592
1,2362260,2386949
1,2387449,2412854
1,2368853,2343531
1,2326294,2367096
1,2348722,2351725
1,2336813,2321128
1,2412335,2360064
1,2322354,2317281
1,2325748,2319252
1,2380767,2352064
1,2352869,2348072
1,2410043,2323271
1,2324373,2342517
1,2396444,2414925
1,2387449,2342799
1,2399197,2381839
1,2354325,2404804
1,2379084,2322354
1,2336038,2342925
1,2345022,2385264
1,2349701,2342060
1,2357707,2385156
1,2405882,2344795
1,2361963,2372606
1,2356208,1518
1,2414925,2342911
1,2336038,2396871
1,2386949,2326294
1,2368853,2400206
1,2344795,2324752
1,2349948,2375051
1,2360629,150406
1,2410734,2348685
1,2385901,2322592
1,2413212,2322592
1,2370000,2378719
1,-1,0
1,2390149,2396444
1,2336669,2362623
1,498002,2369390
1,2322107,2400206
1,2400206,2415569
1,2371274,1715
1,3173,2384477
1,2412335,2317281
1,2317792,2401046
1,498391,2361431
1,2397554,2393443
1,2349543,2402692
1,2415569,2383460
1,2342060,2406500
1,2351725,2406015
1,2382750,2403091
1,2402092,2361963
1,2351725,2324752
1,2317281,2361431
1,2412446,2372788
1,2385903,2344795
1,2415569,2345022
1,2411092,2397554
1,2381061,2352698
1,2321128,2358119
1,2406860,2361431
1,2325679,2375051
1,4360,2372788
1,2345685,2387494
1,2366216,2317792
1,2353355,2385264
1,2321128,2379305
1,2387494,2367829
1,2379718,2386422
1,2387449,2334660
1,2322592,2410466
1,2336038,2390624
1,2325751,2379084
1,1592977,2345568
1,2361522,2406015
1,2334681,2396444
1,2397940,2380767
1,2325679,2391922
1,2322354,2345022
1,2410466,2334660
1,2348722,2321128
1,2325751,2380767
1,2380940,2354108
1,2322663,4276
1,2334681,2328910
1,2358219,2411092
1,2380940,286069
1,2382025,2352698
1,2349737,2378347
1,2345022,2361522
1,2358223,2412446
1,2349701,2352698
1,2359046,2387494
1,2371274,2378347
1,2351394,4276
1,2386949,2353355
1,2381061,2383460
1,2336813,2400881
1,2317281,2412335
1,2317792,2405882
1,2412335,2397109
1,4527,2359046
1,2411092,2322107
1,2372606,2375842
1,2379718,2381061
1,2381982,2351394
1,2362754,2381061
1,2349737,2348072
1,2385405,2410043
1,2404804,2412335
1,2349737,2372606
1,2358219,2326294
1,2404804,2358947
1,2387887,2400206
1,2343868,2360064
1,2361431,2397109
1,2411092,2397554
1,2395162,2375051
1,498069,2402386
1,2410242,2325679
1,2391922,2402692
1,2409815,2396871
1,2385901,2396444
1,2317281,2375842
1,2366422,4276
1,2320626,2322354
1,2352064,2402386
1,2362260,2380767
1,2348072,2357783
1,2413212,2383872
1,2334576,2354325
1,2395162,2379305
1,2324489,2412854
1,2396871,2412335
1,2316083,2317284
1,2413212,2367829
1,2410826,2366422
1,2405882,2414925
1,2334681,2352698
1,2358223,2333576
1,2317281,2342799
1,2366562,2402642
1,2375051,2366422
1,2345568,2316083
2,2369390,2345351
2,2349701,2321128
2,2351394,2356208
2,2355303,2333576
2,2391922,2360064
2,2325679,2410734
2,2386608,2367829
2,2345685,2342925
2,2322592,2415569
2,2352385,2343868
2,2319252,2352698
2,2353355,2387494
2,2358947,2386949
2,2318319,2386422
2,2359046,2334897
2,4276,2371274
2,2397940,2324489
2,2343496,2326294
2,2366422,2349948
2,2383202,2408800
2,2348072,2412335
2,2402386,2393724
2,2345022,2414925
2,2400206,2402642
2,2336669,2344795
2,498069,2397554
2,2367096,2402092
2,2407575,2348722
2,2379084,2342517
2,2372121,2346561
2,1592977,2395162
2,2362623,2404804
2,1510,2325751
2,2368853,2320626
2,2409815,2413212
2,2382025,2322354
2,2381061,2399197
2,2343531,2383872
2,2325199,2342799
2,2402692,150406
2,2371682,2348685
2,2401046,2385901
2,2368430,2374977
2,2375842,2406860
2,2381839,2388442
2,2361431,2375051
2,2396444,2387887
2,2386942,2361963
2,2328910,2358223
2,2317792,2358119
2,2406015,2349737
2,2320061,2372788
2,4527,2361786
2,2357783,2370000
2,2339617,2395971
2,2410242,2383460
2,2398851,2352869
2,2334576,2410682
2,2389493,2400881
2,2356281,3700
2,2410826,2385903
2,2406500,2322663
2,2385405,2358219
2,2317284,2382750
2,2342911,2349543
2,2366401,2357707
2,2384477,2363897
2,2356208,2358409
2,2397554,2386942
2,2342911,2339617
2,2379718,2401046
2,2366562,2352698
2,2392128,2366562
2,2334660,2372606
2,2354325,2345568
2,2370000,2322354
2,2322663,2322107
2,2386422,2396717
2,2406860,2362754
2,2403091,2345351
2,2384477,2410826
2,2334681,2406015
2,-1,0
2,2396717,2342517
2,2408800,2390149
2,2345685,2402386
2,2385405,2343496
2,2384477,2349543
2,2381982,2325748
2,2386422,2410826
2,2343496,2399197
2,2368430,2349543
2,2388442,2342060
2,2368430,2369390
2,2316083,2317100
2,1715,2317284
2,2345351,2356281
2,2333576,2410826
2,2398851,2324489
2,2392128,2389493
2,2343868,2385901
2,2410490,2385156
2,498069,2380940
2,2358947,2387887
2,1510,2342060
2,2405577,2322107
2,2398851,2374977
2,2396871,2395119
2,2322107,2378719
2,1518,1715
2,2366216,2342517
2,2334660,2360064
2,2387449,2401046
2,2395971,4360
2,2411092,2383202
2,2396871,2396444
2,2356208,2361963
2,286069,2320061
2,2349585,2389493
2,2371682,2355298
2,2381839,2410734
2,2386608,2342799
