session_id,image1,image2
1,2412335,2345568
1,2386608,150406
1,2336038,1518
1,2397940,2333576
1,2359046,2361786
1,2354325,2397109
1,2372788,2352385
1,2408800,2358223
1,2348722,2370000
1,2343496,2396871
1,2378347,1715
1,2395162,2396053
1,2410682,2342911
1,2411092,2381982
1,2371682,2361431
1,2348722,2412335
1,2355303,2395971
1,4276,2380940
1,2349737,2351725
1,2402092,2361431
1,2385405,2322663
1,2404804,2336038
1,2410490,2319252
1,2366562,2379305
1,2375842,2317281
1,2342517,2334681
1,2384477,2385903
1,2366562,2361522
1,2322107,2349701
1,2367829,3173
1,2385156,2392128
1,2405577,2392957
1,2356208,498391
1,2322107,2325679
1,2372121,498069
1,2379084,2345022
1,2396717,3700
1,2402642,498002
1,2372788,2334897
1,2411092,2322592
1,2375842,2362754
1,2352698,2343531
1,2339617,2399197
1,2346561,2382750
1,2362260,2370000
1,2359046,2380767
1,2378719,2352064
1,2393724,2324373
1,2406015,2383872
1,2412446,2342799
1,2319252,2361963
1,2317281,2334576
1,2402692,2343531
1,2394751,2324752
1,2352869,2383202
1,2383872,2345351
1,2326294,2372121
1,2412854,2360064
1,2395971,2403091
1,2381982,2356281
1,2412854,2328910
1,2358947,2410734
1,2322107,2348722
1,2357783,2363897
1,2362260,2317284
1,2402092,2402386
1,2379084,3173
1,2361431,2410043
1,2320626,2374977
1,2366216,2398851
1,2368430,2323271
1,2406015,2369390
1,2324489,2348685
1,2354325,2317284
1,2395119,2383872
1,2358119,2369390
1,2336669,2342799
1,2413212,2343868
1,2334660,2357707
1,2320061,1592977
1,2381061,2362260
1,2343496,2408800
1,2358223,2328910
1,2342517,2317281
1,2325748,2402642
1,2334681,2397940
1,2323271,2385903
1,4360,2379084
1,2372606,2342799
1,2353355,2412446
1,2336813,2382025
1,2316083,2343496
1,2393724,2349737
1,2385903,4360
1,2411092,2387887
1,2342060,2348685
1,2318319,2342925
1,2404804,2354108
1,2322663,2325199
1,2367096,2324752
1,2324752,2317792
1,2387494,2410043
1,2352385,2322354
1,2410734,2381839
1,2326294,2363897
1,2415569,2397109
1,2345685,2358219
1,2358223,2403091
1,2395971,2402692
1,2393443,2366422
1,2390624,2378719
1,2349543,2361963
1,2400206,2378347
1,2318319,4527
1,2386949,2382025
1,2345022,2354325
1,2412335,2400881
1,2412854,2401046
1,2348685,2317792
1,2345685,2362754
1,2322592,2325751
1,2336813,2380940
1,2410466,2381061
1,2385264,2355298
1,2368430,2386422
1,2366422,150406
1,2387494,2366401
1,2409815,2393724
1,2333576,2367096
1,2360629,498391
1,2319252,2407575
1,2336038,2345022
1,2371274,2317792
1,2353355,2318319
1,2413212,2362754
1,498391,2325751
1,2368853,2406860
1,2325748,2389493
1,2321128,2342517
1,2375842,2387887
1,2396871,2382025
1,2412854,2390149
1,2343496,2384477
1,2414925,2379718
1,2362623,2343496
1,2316083,2370000
1,2322663,2388442
1,498069,2415569
1,2358409,2396444
1,2396053,4276
1,2391922,2397109
1,2366422,2320626
1,2361786,2402642
1,2322107,2351725
1,2409815,2325679
1,2412446,2414925
1,2406500,2345568
1,2326294,2349543
1,2410490,2325679
1,498069,2389493
1,2395119,2410734
1,2317281,2349737
1,2325679,2348072
1,4360,2409779
1,2410242,2385901
1,2396053,2395971
1,2382750,2324489
1,2360629,2390624
1,2381982,2387449
1,2410826,2334576
1,2413212,2405882
1,2395971,2386942
1,286069,2393724
1,2349585,1518
1,4527,2361786
1,2409815,2342925
1,2410242,2379305
1,2390149,2380940
1,2349701,2375842
1,2405577,286069
1,2354108,2396871
1,2400881,2356208
1,2352869,2387494
1,2394751,2334681
1,2317100,2395162
1,2375051,2396871
1,2348722,2357783
1,2383872,2406500
1,3700,2334660
1,2325199,2320061
1,2357707,2361786
1,2325679,2357783
1,2336813,2322592
1,2400881,2323271
1,2349585,2385901
1,2380940,2397940
1,2403091,2323271
1,2409779,498391
1,2379718,2410242
1,1592977,2352064
1,2358119,2344795
1,2409815,2362623
1,2386608,2374977
1,2343531,2391922
1,2372788,2342060
1,2361786,1510
1,2372788,2362260
1,2375051,2345685
1,2359046,1510
1,2381839,498391
1,2398851,2409779
1,286069,2378719
1,2322354,2396444
1,2317100,2379084
1,2385903,2410043
1,2378719,2375051
1,2316083,2389493
1,2355303,2343531
1,2387449,2345022
1,2395119,2371682
1,2379084,2345568
1,498391,2322663
1,2405882,2352698
1,2368430,2324373
1,2325748,2356281
1,2348072,2402386
1,2324489,2403091
1,2323271,2397554
1,2378347,2348072
1,2358219,2355303
1,2351394,498002
1,2407575,2379084
1,2392957,2366216
1,2356281,2411092
1,2386949,2411092
1,2410242,2358947
1,2360629,2346561
1,2366401,2334897
1,2342517,2357707
1,2322107,4360
1,2333576,2346561
1,2406015,2387494
