image_id,filter_method
2393603,influence
2387465,influence
2384866,influence
2395566,influence
1294,influence
2408778,influence
2349204,influence
2364862,influence
2368656,influence
2358149,influence
2341501,influence
2380350,influence
2351813,influence
2341510,influence
2363837,influence
2405222,influence
2410634,influence
2369479,influence
2322480,influence
2385115,influence
2399705,influence
2431,influence
2371507,influence
2315958,influence
2356857,influence
2343545,influence
2357138,influence
2368813,influence
2390849,influence
2345519,influence
2398444,influence
2361365,influence
2376413,influence
2376917,influence
2334291,influence
2395409,influence
2400488,influence
2408915,influence
2399856,influence
2390108,influence
2376257,influence
2386903,influence
2381972,influence
1592147,influence
2401800,influence
2405512,influence
2381578,influence
2364268,influence
2318352,influence
2398389,influence
2406183,influence
2385700,influence
2357996,influence
2390055,influence
2325341,influence
2400748,influence
498132,influence
2323007,influence
2402592,influence
2405810,influence
2372725,influence
2386014,influence
2385166,influence
2388434,influence
2402493,influence
2381255,influence
2385395,influence
2321829,influence
2326521,influence
2380614,influence
2353132,influence
2339403,influence
2386640,influence
2412133,influence
2412608,influence
2400243,influence
2403635,influence
2397568,influence
2369347,influence
2392126,influence
2346380,influence
2378755,influence
2398249,influence
2340062,influence
2361126,influence
2381375,influence
2397805,influence
4852,influence
2383173,influence
2372193,influence
2412117,influence
2351775,influence
2324650,influence
2357895,influence
2395400,influence
2401696,influence
2382057,influence
2348474,influence
2343325,influence
2392434,influence
2342534,influence
2394176,influence
2369193,influence
2409493,influence
2319764,influence
2378048,influence
2335798,influence
2369130,influence
2342527,influence
2384213,influence
3665,influence
2369934,influence
2385305,influence
2402984,influence
2369369,influence
2383254,influence
2343646,influence
2352064,influence
2371865,influence
2398867,influence
2372303,influence
2396239,influence
2367645,influence
2409599,influence
2403534,influence
2378234,influence
2392675,influence
2392083,influence
2350847,influence
2394053,influence
2382135,influence
2347518,influence
2391777,influence
2392854,influence
2355607,influence
2331166,influence
1778,influence
2414564,influence
2317792,influence
2375051,influence
2340216,influence
2317237,influence
2373734,influence
2365281,influence
2409755,influence
2414414,influence
2405577,influence
2387815,influence
2402491,influence
2363101,influence
2387527,influence
2410614,influence
2393724,influence
3175,influence
2316083,influence
2404206,influence
2408947,influence
2347478,influence
2396000,influence
2345060,influence
2365120,influence
2366982,influence
2343814,influence
2404466,influence
2371647,influence
2413539,influence
2357775,influence
2384016,influence
2381982,influence
2410119,influence
2360559,influence
2345570,influence
2393052,influence
2380625,influence
2394118,influence
2349017,influence
2345387,influence
2386576,influence
2377851,influence
2361300,influence
2400959,influence
2409522,influence
2341844,influence
2342604,influence
2384300,influence
2390730,influence
2408821,influence
2342917,influence
2320178,influence
2355483,influence
2334897,influence
2402805,influence
2334576,influence
2411647,influence
2372602,influence
2324657,influence
2359869,influence
2365509,influence
2317596,influence
2319610,influence
2368743,influence
2328241,influence
2381061,influence
2394058,influence
2403624,influence
2386949,influence
2404349,influence
2392565,influence
2320187,influence
2318319,influence
2351725,influence
2355149,influence
2383946,influence
2408381,influence
2359999,influence
2408802,influence
2402931,influence
2378078,influence
2397554,influence
2359968,influence
2395054,influence
285822,influence
2363897,influence
2371487,influence
2359046,influence
713673,influence
