image_id,number_of_unique_words,number_of_unique_nouns,number_of_unique_verbs,number_of_unique_adjectives,number_of_unique_adverbs,number_of_unique_pronouns,number_of_unique_determiners,number_of_unique_conjunctions,number_of_unique_prepositions,complexity,category,avg_region_similarity,# of SAM segmentations,# of FC-CLIP classes
abstract_35310.jpg,45,31,3,13,0,0,0,0,2,0.4411764740943908,test,0.2843304872512817,66,3
abstract_462135.jpg,13,9,1,7,0,0,0,0,0,0.073529414832592,test,0.6072551012039185,13,1
abstract_227654.jpg,23,13,4,10,3,0,0,0,3,0.3823529481887817,test,0.4683137238025665,41,1
abstract_109391.jpg,39,29,4,13,0,1,0,0,1,0.1617647111415863,test,0.3576030731201172,21,1
abstract_280205.jpg,30,22,2,11,0,0,0,0,1,0.5735294222831726,test,0.3975936770439148,42,2
abstract_251849.jpg,38,27,6,8,0,0,0,0,2,0.6323529481887817,test,0.3887460231781006,153,3
abstract_98901.jpg,40,28,7,11,0,0,0,0,0,0.1764705926179886,test,0.3108841180801391,13,1
abstract_941763.jpg,28,22,1,8,0,0,0,0,0,0.6911764740943909,test,0.5689581036567688,235,0
abstract_430221.jpg,41,30,5,13,1,0,0,0,0,0.2352941185235977,test,0.2667437791824341,31,2
abstract_776316.jpg,47,35,5,12,1,0,0,0,0,0.3676470518112182,test,0.3635368645191192,35,0
abstract_706654.jpg,50,37,5,13,0,0,0,0,3,0.3382352888584137,test,0.3063832223415375,23,6
abstract_368112.jpg,46,35,8,13,1,0,0,0,0,0.2794117629528045,test,0.2710616290569305,67,3
abstract_40640.jpg,26,17,5,9,0,0,0,0,1,0.4117647111415863,test,0.4754646122455597,144,2
abstract_364449.jpg,39,27,8,10,0,0,0,0,1,0.25,test,0.30158531665802,35,1
abstract_29192.jpg,30,22,1,8,0,1,0,0,0,0.1911764740943908,test,0.3453745245933532,17,3
abstract_945063.jpg,6,3,1,4,0,0,0,0,0,0.0147058824077248,test,0.7517850399017334,8,2
abstract_228123.jpg,41,30,6,12,0,0,0,0,2,0.2205882370471954,test,0.2499991804361343,17,1
abstract_94233.jpg,45,33,4,11,0,0,0,0,2,0.2205882370471954,test,0.3014836311340332,18,2
abstract_644420.jpg,39,25,8,12,0,0,0,0,2,0.529411792755127,test,0.3340233266353607,63,2
abstract_364473.jpg,25,17,4,10,0,0,0,0,0,0.2794117629528045,test,0.4254457950592041,83,1
abstract_449295.jpg,47,32,7,8,1,1,0,0,1,0.25,test,0.2907049655914306,19,3
abstract_122005.jpg,41,25,10,12,0,0,0,0,0,0.5,test,0.3030959665775299,35,2
abstract_245263.jpg,36,24,9,12,1,0,0,0,1,0.3676470518112182,test,0.3435764610767364,51,1
abstract_936855.jpg,42,29,6,13,0,0,0,0,0,0.4705882370471954,test,0.2753295302391052,70,0
abstract_440339.jpg,29,21,7,9,1,0,0,0,0,0.25,test,0.4342547357082367,55,2
