image_id,number_of_unique_words,number_of_unique_nouns,number_of_unique_verbs,number_of_unique_adjectives,number_of_unique_adverbs,number_of_unique_pronouns,number_of_unique_determiners,number_of_unique_conjunctions,number_of_unique_prepositions,complexity,category,avg_region_similarity,# of SAM segmentations,# of FC-CLIP classes
paintings_vanDyck10.jpg,35,24,5,12,1,0,0,0,2,0.5147058963775635,test,0.4179026484489441,114,11
paintings_vanEyck1.jpg,47,32,7,10,0,0,0,0,1,0.6176470518112183,test,0.2100556343793869,220,17
paintings_Rusinol2.jpg,28,21,5,6,1,0,0,0,2,0.6323529481887817,test,0.4212019145488739,133,5
paintings_Bordone2.jpg,51,35,6,12,0,1,0,0,1,0.6470588445663452,test,0.2571818232536316,146,14
paintings_MerrittChase8.jpg,39,27,7,11,0,0,0,0,0,0.2647058963775635,test,0.2826196849346161,25,4
paintings_Lely7.jpg,38,23,7,10,0,0,0,0,2,0.3529411852359772,test,0.2481945753097534,55,4
paintings_Wissing3.jpg,46,30,8,10,0,0,0,0,1,0.4411764740943908,test,0.271973192691803,83,9
paintings_Manet20.jpg,43,25,9,14,1,0,0,0,2,0.4411764740943908,test,0.2270157784223556,88,4
paintings_vonBecker3.jpg,49,29,8,16,0,0,0,0,1,0.529411792755127,test,0.2304755002260208,140,24
paintings_Hogarth1.jpg,43,25,7,16,0,1,0,1,1,0.4411764740943908,test,0.2640780806541443,78,6
paintings_Sisley11.jpg,28,18,7,6,2,0,0,0,0,0.5147058963775635,test,0.4332039654254913,58,6
paintings_Levitan1.jpg,31,18,11,13,0,0,0,0,1,0.4705882370471954,test,0.4416561722755432,141,8
paintings_Delaroche1.jpg,51,33,9,14,1,1,0,0,0,0.6176470518112183,test,0.2491130977869033,154,21
paintings_ElGreco7.jpg,38,19,6,14,0,0,0,0,2,0.4264705777168274,test,0.3338489830493927,38,9
paintings_Rembrandt22.jpg,43,30,4,12,1,1,0,0,0,0.3088235259056091,test,0.2979833483695984,30,6
paintings_DirckHals1.jpg,56,34,8,17,0,0,0,0,1,0.75,test,0.1956973373889923,212,44
paintings_deStomme1.jpg,46,39,5,8,0,0,0,0,0,0.4852941036224365,test,0.381756454706192,60,10
paintings_Rusinol14.jpg,52,35,8,11,1,1,0,0,1,0.5,test,0.2771373689174652,90,11
paintings_Ingres5.jpg,40,26,11,8,0,1,0,0,0,0.294117659330368,test,0.2616459429264068,52,4
paintings_Surikov3.jpg,32,19,8,7,0,1,0,0,0,0.75,test,0.2460606098175048,199,33
paintings_Constable24.jpg,39,21,7,18,1,0,0,0,3,0.2647058963775635,test,0.3760903179645538,43,6
paintings_Keil1.jpg,38,25,3,12,0,0,0,0,1,0.5,test,0.2885974645614624,95,7
paintings_vanDyck18.jpg,46,27,8,16,0,0,0,0,2,0.5882353186607361,test,0.2194885015487671,82,12
paintings_Sanzio3.jpg,41,27,8,12,0,1,0,0,0,0.5,test,0.2186201810836792,154,10
paintings_CamilleCorot12.jpg,37,22,5,11,1,0,0,0,1,0.5,test,0.4400884807109833,78,5
paintings_deCappelle1.jpg,44,32,7,13,0,0,0,0,0,0.5735294222831726,test,0.263831079006195,133,13
paintings_Renoir28.jpg,43,25,10,12,1,0,0,0,2,0.6470588445663452,test,0.2445174008607864,254,29
paintings_Watteau2.jpg,42,20,11,15,0,0,0,0,2,0.4264705777168274,test,0.268285721540451,48,5
paintings_Tisi1.jpg,45,28,8,11,0,0,0,0,3,0.6617646813392639,test,0.191351979970932,170,18
paintings_Homer5.jpg,52,34,12,16,2,0,0,0,2,0.4852941036224365,test,0.2136072963476181,101,5
paintings_Giordano1.jpg,62,37,12,19,1,1,0,0,0,0.6323529481887817,test,0.2398955672979354,105,4
paintings_VanGogh9.jpg,41,30,4,10,0,0,0,0,1,0.5,test,0.3379038572311401,141,2
paintings_Zoffany5.jpg,38,22,6,11,0,1,0,0,2,0.6764705777168274,test,0.2503639757633209,145,21
paintings_vanGoyen3.jpg,34,19,8,14,0,0,0,0,0,0.5735294222831726,test,0.2289144694805145,146,31
paintings_Richter2.jpg,46,34,5,13,0,0,0,0,2,0.5735294222831726,test,0.287702202796936,167,15
paintings_Constable18.jpg,38,22,10,13,1,0,0,0,2,0.4705882370471954,test,0.2356572151184082,113,8
paintings_Reynolds17.jpg,37,24,6,12,1,0,0,0,2,0.4558823406696319,test,0.2440634965896606,63,7
paintings_ElGreco8.jpg,54,34,8,16,0,1,0,0,2,0.5441176295280457,test,0.260480523109436,119,10
paintings_Zurbaran5.jpg,34,26,4,6,0,1,0,0,1,0.2352941185235977,test,0.3405432999134063,15,2
paintings_vanOstade3.jpg,41,23,10,10,1,0,0,0,0,0.4852941036224365,test,0.2472969889640808,84,12
paintings_Homer6.jpg,54,34,13,12,1,1,0,0,2,0.5147058963775635,test,0.2110293954610824,119,13
