image_id,number_of_unique_words,number_of_unique_nouns,number_of_unique_verbs,number_of_unique_adjectives,number_of_unique_adverbs,number_of_unique_pronouns,number_of_unique_determiners,number_of_unique_conjunctions,number_of_unique_prepositions,complexity,category,avg_region_similarity,# of SAM segmentations,# of FC-CLIP classes
scenes_dorm_room_00004596.jpg,58,46,5,13,0,1,0,0,0,0.5147058963775635,test,0.3593663573265075,64,17
scenes_jail_cell_00002330.jpg,50,36,8,8,0,0,0,0,3,0.4705882370471954,test,0.3212685883045196,63,5
scenes_stadium-baseball_00003661.jpg,39,29,6,6,0,1,0,0,1,0.7352941036224365,test,0.2641158998012543,140,14
scenes_bathroom_00001215.jpg,45,33,5,11,1,0,0,0,3,0.4558823406696319,test,0.4306947588920593,46,6
scenes_ski_resort_00001487.jpg,37,22,8,15,1,0,0,0,1,0.5147058963775635,test,0.3533774018287658,117,4
scenes_escalator-indoor_00001084.jpg,46,29,9,15,0,0,0,0,0,0.5,test,0.3239557147026062,83,3
scenes_glacier_00003305.jpg,29,15,5,12,3,0,0,0,1,0.294117659330368,test,0.5104543566703796,50,5
scenes_reception_00004117.jpg,51,40,8,9,0,2,0,0,0,0.4852941036224365,test,0.3052527010440826,120,14
scenes_shopfront_00002159.jpg,38,25,6,13,0,0,0,0,0,0.7058823704719543,test,0.3112813234329223,184,25
scenes_highway_00004921.jpg,46,33,8,13,1,0,0,0,2,0.4558823406696319,test,0.235426053404808,72,7
scenes_courtyard_00003796.jpg,39,24,12,11,1,0,0,0,3,0.4705882370471954,test,0.3383495509624481,55,6
scenes_porch_00003447.jpg,29,17,6,11,0,0,0,0,3,0.5147058963775635,test,0.4061557352542877,58,5
scenes_ballroom_00000854.jpg,39,23,4,10,1,1,0,0,1,0.5588235259056091,test,0.3032511472702026,93,15
scenes_living_room_00004139.jpg,54,44,6,15,1,1,0,0,0,0.6176470518112183,test,0.3528657555580139,105,15
scenes_corral_00001882.jpg,25,15,5,10,2,0,0,0,1,0.4411764740943908,test,0.4472940862178802,78,5
scenes_sushi_bar_00004964.jpg,48,38,13,9,1,1,0,0,0,0.5588235259056091,test,0.3352081775665283,101,15
scenes_barn_00001540.jpg,31,21,7,10,0,0,0,0,1,0.4117647111415863,test,0.3570590615272522,48,7
scenes_sandbox_00000312.jpg,42,26,5,14,2,0,0,0,3,0.4558823406696319,test,0.2343771606683731,58,5
scenes_auto_factory_00000544.jpg,45,35,6,9,0,0,0,0,0,0.6029411554336548,test,0.3010677993297577,146,6
scenes_diner-outdoor_00002520.jpg,45,32,8,13,0,0,0,0,0,0.4852941036224365,test,0.3332446813583374,124,14
scenes_park_00002095.jpg,38,25,8,13,0,0,0,0,1,0.5147058963775635,test,0.3871123492717743,114,6
scenes_art_gallery_00001244.jpg,53,35,8,10,0,1,0,0,0,0.5735294222831726,test,0.2489615529775619,152,21
