image_id,number_of_unique_words,number_of_unique_nouns,number_of_unique_verbs,number_of_unique_adjectives,number_of_unique_adverbs,number_of_unique_pronouns,number_of_unique_determiners,number_of_unique_conjunctions,number_of_unique_prepositions,complexity,category,avg_region_similarity,# of SAM segmentations,# of FC-CLIP classes
0.jpg,50,34,9,14,0,1,0,0,2,0.36,test,0.3070518374443054,116,3
1.jpg,40,30,7,7,0,1,0,0,0,0.42,test,0.2911462187767029,85,0
2.jpg,42,28,9,12,2,1,0,0,2,0.33,test,0.3177334666252136,87,1
3.jpg,53,35,8,14,2,1,0,0,3,0.45,test,0.3000566959381103,107,1
4.jpg,51,38,10,14,1,1,0,0,3,0.59,test,0.3719225823879242,178,3
5.jpg,43,29,8,11,0,0,1,0,3,0.59,test,0.3756366670131683,339,1
6.jpg,61,47,9,10,0,1,0,0,1,0.46,test,0.2804718017578125,107,5
7.jpg,42,29,7,9,0,1,0,0,0,0.52,test,0.2950978875160217,127,2
8.jpg,42,29,5,14,0,0,0,0,1,0.11,test,0.2366537302732467,13,2
9.jpg,41,27,9,10,0,1,0,0,1,0.33,test,0.2880391776561737,28,0
10.jpg,42,26,7,14,1,0,0,0,2,0.19,test,0.3061502873897552,39,0
11.jpg,54,35,8,14,0,1,0,0,1,0.19,test,0.2904875576496124,57,1
12.jpg,42,26,7,19,2,0,0,0,3,0.22,test,0.3490511476993561,10,1
13.jpg,37,25,5,10,0,0,0,0,4,0.47,test,0.2872595489025116,46,1
14.jpg,42,30,6,13,0,0,0,0,2,0.54,test,0.3653352558612823,110,1
15.jpg,49,32,6,16,1,0,0,0,3,0.48,test,0.3282224535942077,131,2
16.jpg,38,27,4,15,0,0,0,0,2,0.62,test,0.3381308913230896,66,3
17.jpg,48,36,4,10,1,0,0,0,0,0.6,test,0.3966163992881775,61,0
18.jpg,39,31,4,11,0,0,0,0,1,0.62,test,0.4521056413650512,75,1
19.jpg,37,26,4,10,0,1,0,0,3,0.26,test,0.3902375400066376,54,1
20.jpg,35,26,5,9,0,0,0,0,2,0.22,test,0.3153564035892486,18,1
21.jpg,43,29,8,11,0,0,0,0,1,0.89,test,0.2125345319509506,103,3
22.jpg,53,39,9,14,0,0,0,0,0,0.52,test,0.357989490032196,150,6
23.jpg,43,29,6,14,2,0,0,0,2,0.89,test,0.3301582336425781,207,1
24.jpg,44,26,8,10,0,0,0,0,1,0.68,test,0.2539759874343872,60,1
25.jpg,57,42,6,13,2,0,0,0,1,0.82,test,0.3167783915996551,154,1
26.jpg,45,39,3,10,0,0,0,0,0,0.71,test,0.3370076715946197,130,3
27.jpg,58,39,4,18,0,0,0,0,0,0.86,test,0.290820837020874,245,1
28.jpg,35,24,5,7,0,1,0,0,1,0.8,test,0.3314419686794281,125,2
29.jpg,35,25,5,9,0,0,0,0,1,0.54,test,0.3958737254142761,156,4
30.jpg,41,30,4,12,0,1,0,0,0,0.34,test,0.4179762303829193,113,3
31.jpg,59,45,7,12,2,0,0,1,1,0.77,test,0.3605793416500091,181,13
32.jpg,47,24,10,14,1,1,0,0,3,0.69,test,0.2663302719593048,94,18
33.jpg,45,29,7,13,0,1,0,0,1,0.18,test,0.3275748193264007,83,2
34.jpg,49,37,7,12,0,1,0,0,3,0.4,test,0.3389955759048462,144,13
35.jpg,32,22,5,12,0,0,0,0,0,0.16,test,0.3995923101902008,32,2
36.jpg,33,28,3,8,0,0,0,0,1,0.48,test,0.3887752592563629,37,7
37.jpg,24,17,8,5,0,0,0,0,2,0.89,test,0.4250164330005646,203,3
38.jpg,44,29,9,12,1,0,0,0,2,0.7,test,0.2505768835544586,197,6
39.jpg,41,26,12,12,0,0,0,0,1,0.5,test,0.2388168424367904,86,10
40.jpg,45,32,7,9,0,0,0,0,1,0.76,test,0.2554069459438324,161,5
41.jpg,55,38,10,14,1,1,0,0,0,0.83,test,0.3163510262966156,124,3
42.jpg,31,23,4,11,0,0,0,0,3,0.4,test,0.3541190922260284,58,5
43.jpg,47,30,8,16,2,0,0,0,4,0.56,test,0.3145583570003509,143,6
44.jpg,38,22,10,14,0,1,0,0,2,0.47,test,0.363785058259964,93,2
45.jpg,51,31,10,15,0,0,0,0,2,0.65,test,0.2438882440328598,106,5
46.jpg,51,34,13,17,1,1,0,0,0,0.72,test,0.2553175687789917,136,4
47.jpg,28,18,7,11,1,0,0,0,2,0.29,test,0.4719047844409942,48,0
48.jpg,27,17,3,10,0,0,0,0,2,0.25,test,0.5681338906288147,158,0
49.jpg,43,32,5,8,0,0,0,0,3,0.28,test,0.2460207045078277,48,5
50.jpg,51,37,4,15,0,0,0,0,2,0.22,test,0.3112652003765106,96,1
51.jpg,25,18,4,8,0,1,0,0,0,0.21,test,0.4185812473297119,77,0
52.jpg,42,31,4,11,0,0,0,0,0,0.82,test,0.3816476464271545,183,1
53.jpg,17,12,3,3,0,0,0,0,1,0.04,test,0.6468619108200073,4,2
54.jpg,52,39,5,13,0,0,0,0,1,0.5,test,0.3509401381015777,85,1
55.jpg,52,33,6,19,0,0,1,0,1,0.82,test,0.3573706150054931,111,1
56.jpg,45,35,5,8,0,0,0,0,1,0.31,test,0.3450603783130646,28,1
57.jpg,50,38,8,13,0,0,0,0,1,0.24,test,0.2840863466262817,66,2
58.jpg,38,30,4,10,2,0,0,0,1,0.65,test,0.3702096045017242,56,0
59.jpg,25,15,8,9,1,0,0,0,2,0.68,test,0.3938456177711487,134,2
60.jpg,49,33,5,16,0,0,0,0,0,0.64,test,0.3607836663722992,126,0
