image_id,number_of_unique_words,number_of_unique_nouns,number_of_unique_verbs,number_of_unique_adjectives,number_of_unique_adverbs,number_of_unique_pronouns,number_of_unique_determiners,number_of_unique_conjunctions,number_of_unique_prepositions,complexity,category,avg_region_similarity,# of SAM segmentations,# of FC-CLIP classes
0.jpg,50,34,3,17,1,0,0,0,3,0.68,test,0.3804720640182495,191,3
1.jpg,50,35,8,14,1,2,0,0,0,0.2,test,0.321269690990448,208,0
2.jpg,47,37,6,10,0,0,0,0,0,0.43,test,0.4021462798118591,207,1
3.jpg,63,45,8,13,0,1,0,0,2,0.08,test,0.3522685170173645,123,1
4.jpg,46,37,7,11,0,2,0,0,0,0.17,test,0.3945521414279938,202,3
5.jpg,47,37,2,13,1,3,0,0,0,0.37,test,0.4081183671951294,232,1
6.jpg,42,28,5,15,0,0,0,0,1,0.0,test,0.4027087986469269,159,5
7.jpg,46,32,8,15,0,1,0,0,1,0.23,test,0.3733471930027008,210,2
8.jpg,49,36,4,12,1,0,0,0,0,0.2,test,0.3524394333362579,138,2
9.jpg,56,35,11,12,1,2,0,1,1,0.27,test,0.3506090342998504,171,0
10.jpg,56,45,5,9,1,0,0,1,0,0.5,test,0.3720006942749023,219,0
11.jpg,53,43,7,11,0,0,0,0,0,0.17,test,0.399418830871582,169,1
12.jpg,51,35,8,11,2,1,0,0,0,0.12,test,0.361446350812912,151,1
13.jpg,37,27,8,9,0,0,0,0,0,0.5,test,0.3958129584789276,158,1
14.jpg,47,35,6,14,2,1,0,0,1,0.6,test,0.3738379776477813,145,1
15.jpg,37,28,3,15,0,1,0,0,1,0.34,test,0.3732230961322784,139,2
16.jpg,40,25,6,14,0,0,0,0,0,0.4,test,0.4259651899337768,177,3
17.jpg,43,33,3,10,1,1,0,0,1,0.34,test,0.3825747072696686,137,0
18.jpg,43,29,8,15,2,0,0,0,1,0.29,test,0.3701834976673126,155,1
19.jpg,54,41,6,14,0,0,0,0,0,0.41,test,0.3510371446609497,170,1
20.jpg,47,34,7,11,1,3,0,0,0,0.72,test,0.3484309613704681,240,1
21.jpg,41,31,6,9,1,3,0,1,0,0.71,test,0.3654311001300812,225,3
22.jpg,40,28,7,12,2,2,0,0,3,0.55,test,0.3795212209224701,198,6
23.jpg,39,29,1,13,1,0,0,0,1,0.37,test,0.4075197279453277,149,1
24.jpg,48,35,9,14,0,1,0,0,2,0.53,test,0.3478117287158966,199,1
25.jpg,38,27,3,14,2,0,0,0,1,0.7,test,0.4099604189395904,119,1
26.jpg,44,36,4,8,1,1,0,1,1,0.38,test,0.4092491269111633,158,3
27.jpg,46,34,3,13,0,0,0,0,0,0.68,test,0.3925829529762268,185,1
28.jpg,42,34,6,7,1,1,0,0,2,0.23,test,0.4117606580257416,157,2
29.jpg,43,34,4,8,0,0,0,0,0,0.58,test,0.3794391751289367,169,4
30.jpg,53,39,7,12,1,1,0,0,1,0.5,test,0.3226617276668548,200,3
31.jpg,41,28,6,11,1,0,0,0,0,0.34,test,0.4254958033561706,141,13
32.jpg,44,32,7,13,0,1,0,0,0,0.08,test,0.4016215801239013,149,18
33.jpg,52,37,6,14,2,0,0,0,0,0.38,test,0.35210782289505,174,2
34.jpg,44,32,5,10,0,1,0,0,0,0.72,test,0.3959033489227295,216,13
35.jpg,41,29,3,13,0,0,0,0,1,0.19,test,0.3979422748088836,135,2
36.jpg,38,28,7,10,0,0,0,0,1,0.15,test,0.4503863751888275,149,7
37.jpg,53,38,7,14,0,0,0,0,1,0.66,test,0.3850806057453155,201,3
38.jpg,55,42,3,14,0,0,0,0,0,0.21,test,0.3559726774692535,110,6
39.jpg,43,31,7,12,1,1,0,0,2,0.28,test,0.3643200695514679,99,10
40.jpg,48,38,5,10,0,1,0,0,0,0.45,test,0.3703643679618835,171,5
41.jpg,46,34,4,13,0,0,0,0,0,0.65,test,0.392514705657959,294,3
42.jpg,50,38,7,12,0,1,0,0,0,0.31,test,0.3448195457458496,166,5
43.jpg,46,35,4,12,1,0,0,0,1,0.49,test,0.3697208166122436,209,6
44.jpg,44,32,6,10,1,1,0,0,0,0.15,test,0.4188408851623535,111,2
45.jpg,58,36,7,18,0,2,0,0,0,0.58,test,0.355034738779068,159,5
46.jpg,54,40,4,16,1,0,0,0,1,0.8,test,0.3379671275615692,154,4
47.jpg,48,33,6,10,1,1,0,0,2,0.6,test,0.3349702060222626,226,0
