image_id,number_of_unique_words,number_of_unique_nouns,number_of_unique_verbs,number_of_unique_adjectives,number_of_unique_adverbs,number_of_unique_pronouns,number_of_unique_determiners,number_of_unique_conjunctions,number_of_unique_prepositions,complexity,category,avg_region_similarity,# of SAM segmentations,# of FC-CLIP classes
0.jpg,48,28,11,13,1,1,0,0,0,0.29,test,0.2460655719041824,107,3
1.jpg,34,21,5,13,0,0,0,0,3,0.42,test,0.3166735470294952,35,0
2.jpg,36,23,6,13,0,0,0,0,0,0.68,test,0.2287398874759674,215,1
3.jpg,48,36,5,15,1,0,0,0,2,0.39,test,0.3603372871875763,164,1
4.jpg,43,30,7,11,0,0,0,0,1,0.76,test,0.3082239031791687,246,3
5.jpg,39,23,11,10,0,0,0,0,2,0.41,test,0.3587287366390228,170,1
6.jpg,34,22,4,12,0,0,0,0,1,0.39,test,0.3298210501670837,72,5
7.jpg,39,29,6,8,0,0,0,0,0,0.4,test,0.4039953351020813,130,2
8.jpg,31,23,6,12,0,0,0,0,2,0.33,test,0.4064781069755554,166,2
9.jpg,32,22,5,13,0,0,0,0,0,0.33,test,0.3692554831504822,110,0
10.jpg,31,24,4,11,0,0,0,0,2,0.52,test,0.3440201580524444,120,0
11.jpg,31,19,8,8,1,0,0,0,1,0.37,test,0.3985146880149841,94,1
12.jpg,42,30,5,11,0,0,0,0,1,0.61,test,0.2252330482006073,135,1
13.jpg,48,34,7,10,0,1,0,0,0,0.71,test,0.2386374026536941,158,1
14.jpg,33,25,5,9,0,0,0,0,1,0.44,test,0.3460655510425567,145,1
15.jpg,47,28,6,13,1,1,0,0,4,0.34,test,0.2642193138599396,64,2
16.jpg,51,32,5,16,1,1,0,0,0,0.7,test,0.2203634232282638,206,3
17.jpg,38,22,10,13,0,0,0,0,1,0.52,test,0.3104039430618286,122,0
18.jpg,40,29,5,9,0,1,0,0,1,0.29,test,0.3123986423015594,133,1
19.jpg,19,13,5,5,0,0,0,0,2,0.27,test,0.3914889693260193,117,1
20.jpg,28,19,5,12,0,0,0,0,1,0.46,test,0.3889217376708984,71,1
21.jpg,42,32,8,11,1,1,0,0,0,0.76,test,0.2750547230243683,193,3
22.jpg,32,23,6,10,0,0,0,0,0,0.51,test,0.4454778134822845,149,6
23.jpg,40,28,7,12,1,0,0,0,1,0.47,test,0.3722182810306549,119,1
24.jpg,36,23,8,13,0,0,0,0,1,0.52,test,0.4225072860717773,215,1
25.jpg,43,31,2,9,1,0,0,0,1,0.66,test,0.3747181892395019,232,1
26.jpg,41,31,4,13,0,0,0,0,0,0.31,test,0.3426931798458099,117,3
27.jpg,45,30,7,9,0,1,0,1,1,0.57,test,0.2691826522350311,271,1
28.jpg,41,30,7,14,0,0,0,0,0,0.73,test,0.3001752197742462,232,2
29.jpg,28,21,3,12,0,0,0,0,1,0.65,test,0.4263123869895935,88,4
30.jpg,19,9,6,6,1,0,0,0,0,0.18,test,0.679881751537323,82,3
31.jpg,55,38,8,16,1,1,0,0,0,0.24,test,0.3456968963146209,218,13
32.jpg,33,24,5,13,0,0,0,0,0,0.35,test,0.4538160264492035,72,18
33.jpg,41,29,9,9,0,0,0,0,1,0.26,test,0.2478614002466201,106,2
34.jpg,50,34,8,12,0,2,0,0,0,0.8,test,0.3227504789829254,164,13
35.jpg,51,39,6,14,1,1,0,0,0,0.38,test,0.3237818479537964,133,2
36.jpg,38,31,2,9,0,0,0,0,2,0.49,test,0.3886642754077911,214,7
37.jpg,43,31,5,10,0,0,0,0,0,0.85,test,0.235636755824089,397,3
38.jpg,46,34,4,11,1,0,0,0,1,0.48,test,0.3162903487682342,91,6
39.jpg,32,25,3,9,0,0,0,0,1,0.0,test,0.4418994784355163,119,10
40.jpg,38,28,7,9,0,0,0,0,0,0.62,test,0.3445562720298767,222,5
41.jpg,36,24,3,12,0,1,0,0,0,0.69,test,0.4539505839347839,164,3
42.jpg,44,31,4,9,1,1,0,1,1,0.9,test,0.3900610506534576,247,5
43.jpg,56,38,8,12,0,1,0,0,2,0.31,test,0.267327070236206,95,6
44.jpg,52,37,9,13,3,0,0,0,0,0.22,test,0.3189347088336944,105,2
45.jpg,39,26,9,11,1,0,0,0,2,0.23,test,0.2818232178688049,59,5
46.jpg,35,22,9,13,2,0,0,0,1,0.24,test,0.3047609031200409,48,4
47.jpg,45,29,8,12,0,0,0,0,0,0.25,test,0.3522939383983612,94,0
48.jpg,45,35,8,11,1,0,0,0,1,0.44,test,0.3772633969783783,182,0
49.jpg,63,47,10,11,0,1,0,0,1,0.92,test,0.2215026915073394,251,5
50.jpg,23,14,4,10,0,0,0,0,1,0.12,test,0.3941910862922668,31,1
51.jpg,27,20,5,7,0,0,0,0,1,0.15,test,0.4552790820598602,55,0
52.jpg,46,36,5,6,0,1,0,0,1,0.4,test,0.379605233669281,175,1
53.jpg,21,17,2,7,0,0,0,0,0,0.19,test,0.6246734857559204,173,2
54.jpg,49,33,7,14,0,1,0,0,0,0.64,test,0.3170560002326965,254,1
55.jpg,50,39,5,11,0,2,0,0,1,0.41,test,0.2811625003814697,119,1
56.jpg,33,23,6,10,0,0,0,0,2,0.53,test,0.3645384311676025,203,1
57.jpg,21,13,5,9,2,0,0,0,1,0.13,test,0.509107232093811,107,2
58.jpg,44,28,8,15,1,0,0,0,1,0.23,test,0.2394052892923355,132,0
59.jpg,25,17,8,8,0,0,0,0,1,0.43,test,0.4374788701534271,134,2
60.jpg,17,11,3,9,0,0,0,0,1,0.11,test,0.4304359555244446,43,0
61.jpg,55,34,9,13,1,0,0,0,3,0.33,test,0.3009342551231384,145,2
62.jpg,28,21,2,8,0,0,0,0,1,0.42,test,0.3607968389987945,123,4
63.jpg,26,19,2,8,0,0,0,0,2,0.4,test,0.3760784268379211,84,1
