image_id,number_of_unique_words,number_of_unique_nouns,number_of_unique_verbs,number_of_unique_adjectives,number_of_unique_adverbs,number_of_unique_pronouns,number_of_unique_determiners,number_of_unique_conjunctions,number_of_unique_prepositions,complexity,category,avg_region_similarity,# of SAM segmentations,# of FC-CLIP classes
0.jpg,48,36,4,10,1,0,0,0,0,0.97,test,0.3966163992881775,61,3
1.jpg,49,35,5,15,0,1,0,0,1,0.89,test,0.4014168977737427,50,0
2.jpg,39,31,4,11,0,0,0,0,1,0.98,test,0.4521056413650512,75,1
3.jpg,47,32,4,15,1,0,0,0,1,0.98,test,0.38484987616539,86,1
4.jpg,38,29,3,9,0,0,1,0,1,0.44,test,0.4334903061389923,57,3
5.jpg,44,32,3,8,0,0,0,0,1,0.08,test,0.4928953051567077,18,1
6.jpg,53,39,8,11,0,1,0,0,1,0.19,test,0.3080786764621734,26,5
7.jpg,38,27,5,10,1,0,0,0,1,0.08,test,0.4020343422889709,21,2
8.jpg,31,20,5,12,3,0,0,0,0,0.02,test,0.3605408370494842,8,2
9.jpg,42,29,4,11,1,0,0,0,1,0.28,test,0.3957043290138244,32,0
10.jpg,48,38,5,11,0,0,0,0,0,0.58,test,0.309439480304718,34,0
11.jpg,47,30,5,15,0,0,0,0,1,0.14,test,0.3564749956130981,19,1
12.jpg,35,26,7,10,0,0,0,0,0,0.41,test,0.3665961027145386,41,1
13.jpg,37,26,7,10,0,0,0,0,0,0.17,test,0.3563195765018463,16,1
14.jpg,36,23,6,12,0,0,0,0,1,0.15,test,0.3638130128383636,4,1
15.jpg,30,18,3,12,3,0,0,0,0,0.32,test,0.5362023115158081,26,2
16.jpg,59,42,5,16,0,0,0,0,0,0.45,test,0.2833687663078308,31,3
17.jpg,30,21,5,10,0,0,0,0,2,0.0,test,0.2879551947116852,4,0
18.jpg,23,17,6,6,0,0,0,0,1,0.02,test,0.4632009267807007,19,1
19.jpg,32,21,5,11,0,0,0,0,3,0.03,test,0.3275098502635956,6,1
20.jpg,37,26,3,12,0,0,0,0,1,0.08,test,0.4038543403148651,5,1
21.jpg,28,18,5,7,0,0,0,0,2,0.05,test,0.4050607979297638,9,3
22.jpg,53,40,8,10,2,0,0,0,0,0.6,test,0.3125719130039215,51,6
23.jpg,33,25,6,11,0,0,0,0,2,0.29,test,0.3709478974342346,21,1
24.jpg,48,34,8,11,0,0,0,0,1,0.26,test,0.3282568752765655,15,1
25.jpg,48,32,7,12,2,0,0,0,0,0.12,test,0.2856450080871582,22,1
26.jpg,54,40,7,10,3,0,0,0,0,0.51,test,0.3006482720375061,48,3
27.jpg,26,18,5,6,0,0,0,0,1,0.03,test,0.4300288558006286,5,1
28.jpg,51,34,10,12,1,0,0,0,2,0.23,test,0.2879934012889862,24,2
29.jpg,53,38,8,13,0,0,0,0,0,0.77,test,0.2675454020500183,70,4
30.jpg,54,42,5,11,0,1,0,0,1,0.54,test,0.2979696094989776,34,3
31.jpg,43,30,10,9,1,1,0,0,0,0.77,test,0.2263541370630264,79,13
32.jpg,52,37,9,11,1,1,0,0,0,0.86,test,0.2862714231014251,108,18
33.jpg,42,32,8,12,1,0,0,0,0,0.36,test,0.247066780924797,19,2
34.jpg,54,41,5,12,0,1,0,0,0,0.91,test,0.3538728356361389,81,13
35.jpg,36,23,5,15,1,0,0,0,2,0.25,test,0.3275454044342041,12,2
36.jpg,59,43,9,16,0,0,0,0,1,0.83,test,0.2965732216835022,100,7
37.jpg,56,35,5,22,0,0,0,0,3,0.26,test,0.2815780341625213,21,3
38.jpg,35,21,4,15,0,0,0,0,0,0.73,test,0.36887988448143,95,6
39.jpg,48,34,8,10,0,1,0,0,0,0.86,test,0.26559779047966,82,10
40.jpg,44,33,7,11,0,0,0,0,2,0.83,test,0.3584517538547516,82,5
41.jpg,41,29,8,12,0,0,0,0,1,0.68,test,0.328107625246048,62,3
42.jpg,49,35,11,12,0,1,0,0,0,0.54,test,0.2917315363883972,49,5
43.jpg,40,29,5,10,2,0,0,0,0,0.9,test,0.4158028364181518,80,6
44.jpg,32,22,4,12,0,0,0,0,1,0.05,test,0.3620332777500152,8,2
45.jpg,36,25,6,11,1,0,0,0,0,0.45,test,0.3052748441696167,24,5
46.jpg,41,26,7,14,0,0,0,0,2,0.46,test,0.3934155404567718,33,4
47.jpg,15,11,1,4,0,0,0,0,1,0.0,test,0.5336466431617737,4,0
48.jpg,37,22,7,10,0,0,0,0,2,0.01,test,0.3629989326000213,5,0
49.jpg,52,37,8,13,1,0,0,0,1,0.81,test,0.3408091366291046,91,5
50.jpg,51,39,6,9,0,0,0,0,1,0.1,test,0.3508369922637939,11,1
51.jpg,34,19,6,14,1,0,0,0,0,0.1,test,0.3159030079841614,13,0
52.jpg,35,26,6,10,0,0,0,0,1,0.04,test,0.3628446757793426,6,1
53.jpg,39,24,7,15,1,0,0,0,0,0.12,test,0.3251619637012481,16,2
54.jpg,34,25,2,9,1,0,0,0,2,0.68,test,0.5349318385124207,58,1
55.jpg,28,23,4,6,0,0,0,0,2,0.03,test,0.4025128185749054,1,1
56.jpg,49,37,6,13,0,0,0,0,0,0.1,test,0.3327123522758484,14,1
57.jpg,39,26,7,11,0,0,0,0,0,0.26,test,0.4243126809597015,38,2
58.jpg,38,31,3,9,0,0,0,0,1,0.88,test,0.4433066248893738,98,0
59.jpg,32,22,5,8,0,0,0,0,1,0.44,test,0.4525655210018158,29,2
60.jpg,41,32,5,11,0,0,0,0,0,0.29,test,0.3036906719207763,14,0
61.jpg,31,22,3,8,0,0,0,0,0,0.54,test,0.4975427389144897,26,2
62.jpg,37,28,5,9,0,0,0,0,1,0.26,test,0.3554528057575226,22,4
63.jpg,28,20,3,9,0,0,0,0,1,0.53,test,0.5302760004997253,45,1
64.jpg,29,19,6,8,0,0,0,0,0,0.26,test,0.4776643216609955,31,1
65.jpg,34,25,6,11,0,0,0,0,0,0.49,test,0.4379535019397735,37,0
66.jpg,41,29,4,10,1,0,0,0,2,0.7,test,0.3510878086090088,62,1
67.jpg,50,33,7,15,3,0,0,0,0,0.6,test,0.2974755465984344,78,5
68.jpg,48,35,5,11,2,0,0,0,0,0.48,test,0.339161068201065,51,2
69.jpg,37,21,4,12,1,0,0,0,1,0.62,test,0.4020672738552093,50,0
70.jpg,34,28,2,10,0,0,0,0,1,0.54,test,0.3670480251312256,35,0
71.jpg,44,32,5,13,0,1,0,0,1,0.19,test,0.3961355686187744,19,0
72.jpg,34,24,2,9,0,0,0,0,0,0.18,test,0.4003072082996368,21,0
73.jpg,29,21,4,6,0,0,0,0,2,0.11,test,0.4947972297668457,14,1
74.jpg,32,24,5,8,1,1,0,0,1,0.2,test,0.4174792468547821,27,2
75.jpg,39,30,2,12,0,0,0,0,1,0.27,test,0.3637720048427582,12,4
76.jpg,47,28,8,14,2,0,0,0,1,0.27,test,0.3244893848896026,16,2
77.jpg,20,16,3,5,0,0,0,0,1,0.14,test,0.5093320608139038,15,2
78.jpg,26,17,7,6,0,0,0,0,2,0.08,test,0.3747511804103851,19,1
79.jpg,21,14,3,5,0,0,0,0,1,0.14,test,0.5382065773010254,16,0
80.jpg,42,29,5,13,0,0,0,0,1,0.62,test,0.4083408713340759,46,1
81.jpg,33,25,4,7,0,0,0,0,2,0.3,test,0.3643240928649902,13,3
82.jpg,33,14,5,13,3,0,0,0,1,0.41,test,0.4278749823570251,28,1
83.jpg,44,33,3,8,0,0,0,0,1,0.27,test,0.4170397818088531,27,2
84.jpg,45,31,8,10,1,0,0,0,1,0.43,test,0.2978806495666504,25,2
85.jpg,36,27,4,9,1,0,0,0,2,0.53,test,0.383943647146225,35,2
86.jpg,46,33,8,9,0,0,0,0,3,0.5,test,0.3085609376430511,33,4
87.jpg,35,23,7,10,0,0,0,0,1,0.38,test,0.299072802066803,15,1
88.jpg,45,29,7,11,0,0,0,0,1,0.22,test,0.3598228096961975,32,3
89.jpg,54,41,5,12,0,1,0,0,3,1.0,test,0.2748315930366516,118,4
90.jpg,36,23,8,14,0,0,0,0,1,0.37,test,0.3299252688884735,38,0
91.jpg,45,29,5,17,0,0,0,0,3,0.92,test,0.2992506027221679,63,0
92.jpg,56,43,7,13,1,0,0,1,1,0.81,test,0.3116274178028106,52,0
93.jpg,47,34,5,10,1,0,0,0,0,0.82,test,0.354629248380661,77,0
94.jpg,33,26,5,11,0,0,0,0,1,0.31,test,0.3485388159751892,28,0
95.jpg,38,29,4,7,1,1,0,0,0,0.55,test,0.4006795287132263,53,0
96.jpg,40,27,4,13,0,0,0,0,1,0.57,test,0.3863049447536468,59,0
97.jpg,34,25,5,8,1,0,0,0,2,0.25,test,0.3979434370994568,12,0
98.jpg,35,29,3,9,0,0,0,0,1,0.97,test,0.4360645413398742,64,1
99.jpg,36,29,3,6,0,0,0,0,0,0.85,test,0.3881045877933502,69,2
