image_id,number_of_unique_words,number_of_unique_nouns,number_of_unique_verbs,number_of_unique_adjectives,number_of_unique_adverbs,number_of_unique_pronouns,number_of_unique_determiners,number_of_unique_conjunctions,number_of_unique_prepositions,complexity,category,avg_region_similarity,# of SAM segmentations,# of FC-CLIP classes
sun_aiztxdurlviyfwxz.jpg,42,28,6,16,1,0,0,1,1,0.525,test,0.395325243473053,169,29
sun_bplgyeqclqlogugd.jpg,28,21,10,9,2,0,0,0,2,0.544,test,0.4171198308467865,80,3
sun_acdlgczjpwkeuvgy.jpg,35,25,3,7,0,0,0,1,0,0.4992,test,0.4613524377346039,146,24
sun_bhicdswlyikaabeq.jpg,34,24,5,10,0,0,0,0,0,0.527,test,0.4265870153903961,115,20
sun_bfqkksxqisfiefwe.jpg,32,25,1,10,0,0,0,0,1,0.557,test,0.4878200590610504,90,3
sun_beprzjdksyhqbxhx.jpg,31,21,4,11,0,0,0,0,1,0.47,test,0.3645421266555786,80,8
sun_bxcaalgmiqxdiuqf.jpg,25,20,2,7,0,0,0,0,1,0.4767,test,0.5209837555885315,64,5
sun_aqeikwpwbwvsnetj.jpg,50,37,8,15,2,0,0,0,2,0.461,test,0.3458451628684997,129,15
sun_blojyrvlkifrickr.jpg,53,41,5,12,1,1,0,0,0,0.8,test,0.3648166954517364,152,20
sun_ajrwezxmmjejxsbt.jpg,45,33,14,9,1,0,0,0,0,0.394,test,0.3463912606239319,130,17
sun_agldadusrezhmyva.jpg,45,34,8,11,1,1,0,0,0,0.535,test,0.3600101768970489,222,29
sun_bursogyeljvlegan.jpg,33,19,12,15,3,0,0,0,2,0.5617,test,0.3668163418769836,102,3
sun_bgpysxgkeqxnuemb.jpg,42,33,5,8,0,0,0,1,1,0.514,test,0.4066745936870575,79,12
sun_bagmxxfdodupvbxd.jpg,50,37,6,13,1,1,0,1,4,0.664,test,0.3808217048645019,122,20
sun_bpitlhevfvplujnj.jpg,33,22,6,11,0,0,0,0,2,0.532,test,0.4650480449199676,94,9
sun_bukzvwbkvedjexbe.jpg,28,23,4,9,0,0,0,0,1,0.69,test,0.5099791884422302,441,3
sun_bzybqfaecwsubwwo.jpg,40,29,5,15,1,0,0,1,0,0.3542,test,0.3927641808986664,57,15
sun_ahlifjixdpvtzxbh.jpg,49,41,4,11,0,1,0,0,2,0.476,test,0.3826756477355957,155,26
sun_bioqyrrgfmkqqtds.jpg,19,14,8,7,1,0,0,0,1,0.425,test,0.4370226860046386,66,4
sun_adspmthiralksljq.jpg,45,35,8,6,0,0,0,0,2,0.6507999999999999,test,0.3183588981628418,132,11
sun_agkrxexrskvqvcaa.jpg,50,38,5,10,1,1,0,1,0,0.612,test,0.3532982468605041,200,38
sun_bvfurauxmvdtyvgf.jpg,46,26,10,19,0,0,0,0,1,0.7,test,0.2748325765132904,180,7
sun_byapwpssjeemastl.jpg,23,12,5,9,0,0,0,0,1,0.3808,test,0.537808895111084,116,3
sun_bnutyshnyfueffma.jpg,42,33,6,12,0,1,0,1,0,0.489,test,0.3189344406127929,73,13
sun_bbhabvbnyjdrklgv.jpg,33,24,5,11,0,0,0,0,1,0.44,test,0.426221638917923,97,7
sun_aiwjjxhtgtrwjdsf.jpg,38,29,7,8,0,0,0,0,1,0.311,test,0.4287980794906616,130,11
